metric,2020q4-total_found,2020q4-total_searched,2021q1-total_found,2021q1-total_searched,2021q2-total_found,2021q2-total_searched,2021q3-total_found,2021q3-total_searched
dividends_paid,2,1,3,1,3,0,3,0
earnings_per_share,0,1,0,1,0,0,0,0
net_income,0,1,0,1,0,0,0,0
quarter,2,1,3,1,3,0,3,0
sec_urls_HTML,2,1,3,1,3,0,3,0
sec_urls_TXT,2,1,3,1,3,0,3,0
sec_urls_XML,2,1,3,1,3,0,3,0
sec_urls_all_files,2,1,3,1,3,0,3,0
sec_urls_filing_details,2,1,3,1,3,0,3,0
shares_outstanding,0,1,0,1,0,0,0,0
total_assets,2,1,3,1,3,0,3,0
total_expenses,0,1,0,1,0,0,0,0
total_liabilities,2,1,3,1,3,0,3,0
total_revenue,0,1,0,1,0,0,0,0
year,2,1,3,1,3,0,3,0
