Date,Dividends
2014-02-27,0.276
2014-05-29,0.283
2014-08-28,0.283
2014-12-01,0.269
2015-02-27,0.26
2015-05-29,0.262
2015-08-31,0.247
2015-12-01,0.244
2016-03-01,0.256
2016-05-31,0.265
2016-08-31,0.264
2017-03-01,0.276
2017-05-31,0.273
2017-08-30,0.293
2017-11-30,0.285
2018-02-28,0.304
2018-05-31,0.302
2018-08-30,0.301
2018-11-30,0.293
2019-02-28,0.314
2019-05-30,0.305
2019-08-29,0.31
2019-12-02,0.311
2020-03-02,0.327
2020-06-01,0.318
2020-09-01,0.336
2020-12-02,0.338
2021-03-02,0.347
2021-06-01,0.363
2021-09-01,0.347
2021-12-02,0.383
