Date,Dividends
1998-12-09,0.3285
1999-05-26,0.104
1999-12-08,0.333
2000-07-12,0.1855
2001-01-24,0.3535
2001-07-11,0.167
2002-01-23,0.374
2002-04-29,2.5905
2002-07-10,0.1945
2003-01-22,0.404
2003-07-09,0.218
2004-01-21,0.511
2004-07-07,0.2725
2005-01-19,0.664
2005-07-06,0.315
2006-01-18,0.697
2006-07-05,0.342
2007-01-17,0.83
2007-07-11,0.416
2008-01-16,0.996
2008-06-04,0.4755
2008-06-16,4.7275
2009-01-21,1.20194
2009-02-25,0.601
2009-06-17,0.318
2010-01-20,0.8675
2010-07-21,0.3505
2011-01-19,0.968
2011-07-20,0.4605
2012-01-18,1.0745
2012-07-18,0.493
2013-01-16,1.19
2013-07-17,0.547
2014-01-15,1.2905
2014-07-16,0.658
2015-01-14,1.429
2015-05-27,0.33
2015-08-26,0.323397
2015-11-18,0.723047
2016-02-03,0.704192
2016-05-19,0.311493
2016-08-17,0.341
2016-11-17,0.679
2017-02-15,0.679
2017-05-17,0.305
2017-08-23,0.305
2017-11-16,0.784
2018-02-22,0.806
2018-05-24,0.386
2018-08-23,0.384
2018-11-21,0.859
2019-02-21,0.859
2019-05-24,0.404
2019-08-22,0.404
2019-11-21,0.926
2020-02-20,0.934
2020-05-28,0.259584
2020-08-20,0.268718
2020-11-27,0.637
2021-02-18,0.66083
2021-05-27,0.298
2021-08-19,0.290375
2021-11-24,0.650262
