Date,Dividends
1988-05-13,0.47
1988-11-28,0.56
1989-05-22,1.1325
1989-07-06,0.8425
1989-11-27,1.03
1994-06-10,0.02
1994-10-21,0.02
1995-06-14,0.025
1995-10-27,0.025
1996-06-14,0.025
1996-10-25,0.029
1997-06-11,0.036
1997-10-29,0.04
1998-06-17,0.045
1998-10-22,0.045
1999-06-09,0.0525
1999-10-20,0.0925
2000-06-07,0.183
2000-09-18,0.094
2001-06-06,0.204
2002-06-05,0.242
2002-09-11,0.147
2003-06-04,0.327
2003-10-15,0.163
2004-06-02,0.105
2004-10-13,0.226
2005-06-01,0.505
2005-10-12,0.268
2006-05-31,0.556
2006-10-11,0.34
2007-06-06,0.757
2007-10-10,0.43
2008-06-04,0.907
2008-10-08,0.481
2009-06-03,0.722
2009-10-07,0.425
2010-03-17,0.778
2010-10-06,0.461
2011-06-01,0.95
2011-10-12,0.609
2012-06-06,1.359
2012-10-10,0.695
2013-06-05,1.48
2013-10-09,0.823
2014-06-04,1.97
2014-10-08,0.963
2015-06-03,2.004
2015-10-07,1.218
2016-06-08,2.046
2016-10-05,1.29
2017-06-07,2.277
2017-10-05,1.453
2018-06-14,2.566
2018-10-04,1.459
2019-06-13,2.475
2019-10-03,1.368
2020-06-11,2.401
2020-10-08,0.659
2021-06-10,0.978
2021-10-14,0.871
