,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,961729000.0,991317000.0,1022830000.0,1051576000.0
Capital Surplus,1946529000.0,1924771000.0,2088760000.0,2078125000.0
Total Liab,31569374000.0,32372594000.0,32857729000.0,33115553000.0
Total Stockholder Equity,9854952000.0,9383537000.0,9139325000.0,8864470000.0
Minority Interest,75002000.0,67962000.0,67909000.0,68016000.0
Deferred Long Term Liab,52822000.0,144414000.0,207431000.0,20722000.0
Total Assets,41499328000.0,41824093000.0,42064963000.0,42048039000.0
Common Stock,1721000.0,1721000.0,1721000.0,1721000.0
Other Current Assets,415674000.0,241888000.0,271455000.0,246518000.0
Retained Earnings,8322581000.0,7888710000.0,7625705000.0,7399703000.0
Other Liab,1828926000.0,1889608000.0,1896934000.0,1913572000.0
Treasury Stock,-415879000.0,-431665000.0,-576861000.0,-615079000.0
Other Assets,36458412000.0,36883235000.0,37150393000.0,37420363000.0
Cash,1311234000.0,1402918000.0,1447514000.0,1248772000.0
Total Current Liabilities,2161863000.0,2344981000.0,2368957000.0,2429845000.0
Deferred Long Term Asset Charges,121812000.0,126138000.0,128485000.0,131532000.0
Short Long Term Debt,104629000.0,123608000.0,142924000.0,167303000.0
Other Stockholder Equity,-101972000.0,-117713000.0,-133633000.0,-155085000.0
Property Plant Equipment,54216000.0,56215000.0,57863000.0,63115000.0
Total Current Assets,3857839000.0,3763814000.0,3705729000.0,3374920000.0
Long Term Investments,167132000.0,129512000.0,128148000.0,138065000.0
Net Tangible Assets,8893223000.0,8392220000.0,8116495000.0,7812894000.0
Net Receivables,2121165000.0,2108625000.0,1974333000.0,1876327000.0
Long Term Debt,27539694000.0,28098620000.0,28553115000.0,28631380000.0
Accounts Payable,263560000.0,281255000.0,243723000.0,222203000.0
