,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,-113113000.0,41640000.0,-174823000.0,-38709000.0
Total Cashflows From Investing Activities,-187305000.0,-302622000.0,69280000.0,-220831000.0
Net Borrowings,-566894000.0,-455767000.0,-168906000.0,-2328220000.0
Total Cash From Financing Activities,-660403000.0,-550646000.0,-288684000.0,-2463446000.0
Change To Operating Activities,-215792000.0,-107813000.0,-90206000.0,-17402000.0
Net Income,433921000.0,249751000.0,228025000.0,28478000.0
Change In Cash,-58860000.0,-82091000.0,180166000.0,-2030496000.0
Repurchase Of Stock,-50950000.0,-14662000.0,-1841000.0,-7998000.0
Effect Of Exchange Rate,1037000.0,26000.0,-782000.0,1241000.0
Total Cash From Operating Activities,787811000.0,771151000.0,400352000.0,652540000.0
Depreciation,5300000.0,5300000.0,5300000.0,5300000.0
Change To Account Receivables,66461000.0,66890000.0,-45496000.0,19996000.0
Other Cashflows From Financing Activities,-42559000.0,-80217000.0,-117937000.0,-127228000.0
Change To Netincome,206595000.0,110533000.0,70350000.0,239222000.0
Capital Expenditures,-312899000.0,-410203000.0,-90918000.0,-312750000.0
