,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-686000000.0,-2028000000.0,-685000000.0,-424000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,130000000.0,-969000000.0,-1108000000.0,-1391000000.0
Net Borrowings,53000000.0,400000000.0,400000000.0,400000000.0
Total Cash From Financing Activities,-671000000.0,-470000000.0,-684000000.0,-583000000.0
Change To Operating Activities,274000000.0,204000000.0,422000000.0,665000000.0
Issuance Of Stock,4000000.0,9000000.0,7000000.0,6000000.0
Net Income,1105000000.0,1293000000.0,952000000.0,2456000000.0
Change In Cash,479000000.0,-151000000.0,-422000000.0,35000000.0
Repurchase Of Stock,-500000000.0,-650000000.0,-500000000.0,-400000000.0
Effect Of Exchange Rate,58000000.0,-78000000.0,13000000.0,9000000.0
Total Cash From Operating Activities,962000000.0,1366000000.0,1357000000.0,2000000000.0
Other Cashflows From Investing Activities,1282000000.0,1290000000.0,-684000000.0,-951000000.0
Dividends Paid,-211000000.0,-219000000.0,-189000000.0,-192000000.0
Change To Account Receivables,15000000.0,-19000000.0,40000000.0,77000000.0
Other Cashflows From Financing Activities,-17000000.0,-10000000.0,-2000000.0,3000000.0
Change To Netincome,-480000000.0,-754000000.0,-488000000.0,-98000000.0
Depreciation,,,41000000.0,41000000.0
