,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,71378000.0,67930000.0,279198000.0,
Capital Surplus,3579763000.0,3462762000.0,3134145000.0,142477000.0
Total Liab,3024741000.0,2285814000.0,2362368000.0,1730435000.0
Total Stockholder Equity,2377358000.0,2581153000.0,2404021000.0,-349584000.0
Total Assets,5402099000.0,4866967000.0,4766389000.0,2708122000.0
Common Stock,3000.0,3000.0,3000.0,
Other Current Assets,238090000.0,239104000.0,196104000.0,128351000.0
Retained Earnings,-1205100000.0,-888381000.0,-734873000.0,-493999000.0
Other Liab,325055000.0,195325000.0,179248000.0,
Good Will,540770000.0,516515000.0,,
Treasury Stock,2692000.0,6769000.0,4746000.0,1938000.0
Other Assets,241643000.0,274180000.0,277468000.0,175871000.0
Cash,1439531000.0,1466558000.0,1623672000.0,520741000.0
Total Current Liabilities,492133000.0,108183000.0,72278000.0,73986000.0
Other Stockholder Equity,2692000.0,6769000.0,4746000.0,1938000.0
Property Plant Equipment,143487000.0,120327000.0,113084000.0,49358000.0
Total Current Assets,1844472000.0,1972177000.0,2014999000.0,725626000.0
Long Term Investments,2560349000.0,1915838000.0,2081640000.0,1757267000.0
Net Tangible Assets,1765210000.0,1996708000.0,2124823000.0,-349584000.0
Net Receivables,125643000.0,134168000.0,83553000.0,67434000.0
Long Term Debt,2144921000.0,1907354000.0,2038044000.0,1656449000.0
Accounts Payable,425854000.0,57758000.0,29005000.0,26224000.0
Other Current Liab,,,,1348000.0
