,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,78013000.0,81952000.0,98728000.0,41634000.0
Effect Of Accounting Charges,,,,
Income Before Tax,-306444000.0,-155656000.0,-247229000.0,-15203000.0
Minority Interest,,,,
Net Income,-306615000.0,-153208000.0,-247159000.0,-15281000.0
Selling General Administrative,200064000.0,214842000.0,193261000.0,80035000.0
Gross Profit,112106000.0,147526000.0,133674000.0,106226000.0
Ebit,-165971000.0,-149268000.0,-158315000.0,-15443000.0
Operating Income,-165971000.0,-149268000.0,-158315000.0,-15443000.0
Other Operating Expenses,,,,
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,171000.0,-2448000.0,-70000.0,78000.0
Total Revenue,269385000.0,261780000.0,230665000.0,204041000.0
Total Operating Expenses,435356000.0,411048000.0,388980000.0,219484000.0
Cost Of Revenue,157279000.0,114254000.0,96991000.0,97815000.0
Total Other Income Expense Net,-140473000.0,-6388000.0,-88914000.0,240000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-306615000.0,-153208000.0,-247159000.0,-15281000.0
Net Income Applicable To Common Shares,-306615000.0,-153208000.0,-247159000.0,-15281000.0
