,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,82899000.0,77255000.0,82045000.0,67228000.0
Effect Of Accounting Charges,,,,
Income Before Tax,192564000.0,174506000.0,167593000.0,117528000.0
Minority Interest,,,,
Net Income,178916000.0,156497000.0,155695000.0,113370000.0
Selling General Administrative,241463000.0,246049000.0,253005000.0,298739000.0
Gross Profit,543467000.0,532824000.0,536021000.0,542440000.0
Ebit,207146000.0,197460000.0,189544000.0,165579000.0
Operating Income,207146000.0,197460000.0,189544000.0,165579000.0
Other Operating Expenses,,,,
Interest Expense,-18144000.0,-18037000.0,-17834000.0,-17342000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,13648000.0,18009000.0,11898000.0,4158000.0
Total Revenue,860333000.0,852824000.0,842708000.0,846287000.0
Total Operating Expenses,653187000.0,655364000.0,653164000.0,680708000.0
Cost Of Revenue,316866000.0,320000000.0,306687000.0,303847000.0
Total Other Income Expense Net,-14582000.0,-22954000.0,-21951000.0,-48051000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,178916000.0,156497000.0,155695000.0,113370000.0
Net Income Applicable To Common Shares,178916000.0,156497000.0,155695000.0,113370000.0
