,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,4600000000.0,4374000000.0,4129000000.0,5153000000.0
Capital Surplus,3700000000.0,3668000000.0,3596000000.0,3498000000.0
Total Liab,106733000000.0,104451000000.0,103019000000.0,95770000000.0
Total Stockholder Equity,24759000000.0,26037000000.0,24649000000.0,28247000000.0
Minority Interest,-22000000.0,-15000000.0,-27000000.0,
Other Current Liab,52065000000.0,51554000000.0,51580000000.0,16604000000.0
Total Assets,133440000000.0,132643000000.0,129811000000.0,125987000000.0
Common Stock,9000000.0,9000000.0,9000000.0,9000000.0
Other Current Assets,47608000000.0,46863000000.0,46843000000.0,10040000000.0
Retained Earnings,52736000000.0,52464000000.0,51107000000.0,52767000000.0
Other Liab,12222000000.0,12224000000.0,11078000000.0,42263000000.0
Good Will,3389000000.0,3349000000.0,3350000000.0,2544000000.0
Treasury Stock,-31686000000.0,-30104000000.0,-30063000000.0,-28027000000.0
Other Assets,9866000000.0,9641000000.0,9606000000.0,13364000000.0
Cash,690000000.0,656000000.0,709000000.0,377000000.0
Total Current Liabilities,86531000000.0,84231000000.0,83945000000.0,45291000000.0
Short Long Term Debt,1000000.0,,,
Other Stockholder Equity,1918000000.0,2290000000.0,1823000000.0,3304000000.0
Property Plant Equipment,965000000.0,1026000000.0,1002000000.0,1450000000.0
Total Current Assets,63132000000.0,61181000000.0,61490000000.0,24696000000.0
Long Term Investments,51488000000.0,53072000000.0,50234000000.0,78780000000.0
Net Tangible Assets,21370000000.0,22688000000.0,21299000000.0,25250000000.0
Short Term Investments,6428000000.0,5516000000.0,6017000000.0,7800000000.0
Net Receivables,8406000000.0,8146000000.0,7921000000.0,6479000000.0
Long Term Debt,7980000000.0,7996000000.0,7996000000.0,7825000000.0
Accounts Payable,34465000000.0,32677000000.0,32365000000.0,28567000000.0
Deferred Long Term Liab,,,,25000000.0
