,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,1363000000.0,-634000000.0,-3976000000.0,-1237000000.0
Change To Liabilities,117000000.0,-656000000.0,-19000000.0,120000000.0
Total Cashflows From Investing Activities,-1484000000.0,-543000000.0,452000000.0,-2578000000.0
Net Borrowings,-2415000000.0,-3764000000.0,-3420000000.0,-4630000000.0
Total Cash From Financing Activities,-2880000000.0,-2496000000.0,-1167000000.0,-2609000000.0
Change To Operating Activities,281000000.0,-130000000.0,229000000.0,-104000000.0
Net Income,712000000.0,900000000.0,796000000.0,687000000.0
Change In Cash,-2906000000.0,-2586000000.0,457000000.0,-4048000000.0
Repurchase Of Stock,-679000000.0,-502000000.0,-219000000.0,-1000000.0
Effect Of Exchange Rate,-3000000.0,1000000.0,2000000.0,4000000.0
Total Cash From Operating Activities,1461000000.0,452000000.0,1170000000.0,1135000000.0
Depreciation,152000000.0,244000000.0,151000000.0,215000000.0
Other Cashflows From Investing Activities,-93000000.0,-101000000.0,-100000000.0,-142000000.0
Other Cashflows From Financing Activities,216000000.0,-556000000.0,2545000000.0,2094000000.0
Change To Netincome,-26000000.0,-116000000.0,-214000000.0,-24000000.0
Capital Expenditures,-1205000000.0,-1757000000.0,-1269000000.0,-1094000000.0
Dividends Paid,,,-73000000.0,-72000000.0
