,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Capital Surplus,5968661000.0,5863476000.0,5747394000.0,5644074000.0
Total Liab,2716420000.0,2656067000.0,2329079000.0,2390814000.0
Total Stockholder Equity,755893000.0,853362000.0,926190000.0,1016247000.0
Other Current Liab,141420000.0,121020000.0,130000000.0,197163000.0
Total Assets,3472313000.0,3509429000.0,3255269000.0,3407061000.0
Common Stock,1195000.0,1186000.0,1173000.0,1164000.0
Retained Earnings,-5179733000.0,-4975219000.0,-4785660000.0,-4585369000.0
Other Liab,1385935000.0,1379709000.0,1354649000.0,1321227000.0
Treasury Stock,-34230000.0,-36081000.0,-36717000.0,-43622000.0
Other Assets,76157000.0,75477000.0,83401000.0,85770000.0
Cash,1093991000.0,745767000.0,379543000.0,496580000.0
Total Current Liabilities,610656000.0,554648000.0,494825000.0,585270000.0
Other Stockholder Equity,-34230000.0,-36081000.0,-36717000.0,-43622000.0
Property Plant Equipment,720794000.0,708789000.0,701785000.0,706514000.0
Total Current Assets,2675362000.0,2725163000.0,2470083000.0,2614777000.0
Net Tangible Assets,755893000.0,853362000.0,926190000.0,1016247000.0
Short Term Investments,1233874000.0,1154315000.0,1329994000.0,1377815000.0
Net Receivables,141064000.0,646587000.0,610626000.0,602413000.0
Long Term Debt,433799000.0,433151000.0,191590000.0,191278000.0
Inventory,97899000.0,84358000.0,73940000.0,75202000.0
Accounts Payable,40048000.0,53079000.0,45381000.0,51966000.0
