,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-62209000.0,168435000.0,92728000.0,-55220000.0
Change To Liabilities,38012000.0,45009000.0,-94377000.0,40127000.0
Total Cashflows From Investing Activities,-88271000.0,157024000.0,71352000.0,-97888000.0
Total Cash From Financing Activities,573839000.0,329811000.0,51177000.0,217950000.0
Change To Operating Activities,-28513000.0,-27124000.0,-22714000.0,4011000.0
Issuance Of Stock,72389000.0,81861000.0,46977000.0,19025000.0
Net Income,-204514000.0,-189559000.0,-200291000.0,-243540000.0
Change In Cash,348393000.0,366060000.0,-117041000.0,-110000.0
Effect Of Exchange Rate,-3139000.0,1081000.0,-3910000.0,2972000.0
Total Cash From Operating Activities,-134036000.0,-121856000.0,-235660000.0,-123144000.0
Depreciation,23220000.0,22161000.0,22862000.0,20880000.0
Change To Inventory,-13634000.0,-3955000.0,1934000.0,-8464000.0
Change To Account Receivables,3670000.0,-35311000.0,-10709000.0,-21166000.0
Other Cashflows From Financing Activities,501450000.0,-2050000.0,4200000.0,-1075000.0
Change To Netincome,47723000.0,66923000.0,67635000.0,85008000.0
Capital Expenditures,-26062000.0,-11246000.0,-17178000.0,-21668000.0
Net Borrowings,,250000000.0,250000000.0,200000000.0
Other Cashflows From Investing Activities,,-165000.0,-4198000.0,-21000000.0
