,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Capital Surplus,9118000000.0,9049000000.0,8982000000.0,8822000000.0
Total Liab,165019000000.0,166017000000.0,160235000000.0,160016000000.0
Total Stockholder Equity,5707000000.0,5686000000.0,5502000000.0,5867000000.0
Deferred Long Term Liab,3038000000.0,2952000000.0,2990000000.0,2838000000.0
Other Current Liab,6271000000.0,6542000000.0,5210000000.0,6959000000.0
Total Assets,170726000000.0,171703000000.0,165737000000.0,165883000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0
Other Current Assets,6939000000.0,7228000000.0,6893000000.0,6783000000.0
Retained Earnings,16955000000.0,16057000000.0,15600000000.0,15292000000.0
Other Liab,153095000000.0,153850000000.0,149673000000.0,147030000000.0
Treasury Stock,-20369000000.0,-19423000000.0,-19083000000.0,-18250000000.0
Other Assets,108428000000.0,110062000000.0,107204000000.0,102490000000.0
Cash,7736000000.0,7121000000.0,5462000000.0,6751000000.0
Total Current Liabilities,9093000000.0,9334000000.0,7728000000.0,9974000000.0
Short Long Term Debt,476000000.0,558000000.0,486000000.0,734000000.0
Other Stockholder Equity,99000000.0,460000000.0,317000000.0,629000000.0
Total Current Assets,31780000000.0,23796000000.0,21396000000.0,23108000000.0
Long Term Investments,30518000000.0,37845000000.0,37137000000.0,37431000000.0
Net Tangible Assets,5707000000.0,5686000000.0,5502000000.0,3874000000.0
Net Receivables,15920000000.0,8030000000.0,8038000000.0,7819000000.0
Long Term Debt,2790000000.0,2789000000.0,2788000000.0,2787000000.0
Accounts Payable,2146000000.0,2034000000.0,1832000000.0,1998000000.0
Intangible Assets,,,,817000000.0
Good Will,,,,1176000000.0
Deferred Long Term Asset Charges,,,,880000000.0
Property Plant Equipment,,,,861000000.0
