,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,285638000.0,-153021000.0,-335315000.0,-30468000.0
Minority Interest,-88263000.0,-83334000.0,-67999000.0,-54030000.0
Net Income,222615000.0,-105198000.0,-241160000.0,-19152000.0
Selling General Administrative,,,,
Gross Profit,740467000.0,333966000.0,188161000.0,338213000.0
Ebit,291262000.0,-52558000.0,-329399000.0,-22222000.0
Operating Income,291262000.0,-52558000.0,-329399000.0,-22222000.0
Other Operating Expenses,251668000.0,189813000.0,318177000.0,157719000.0
Interest Expense,-23243000.0,-27143000.0,-23052000.0,-29970000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,68853000.0,-31808000.0,-82333000.0,-5477000.0
Total Revenue,886899000.0,491593000.0,341968000.0,488410000.0
Total Operating Expenses,595637000.0,544151000.0,671367000.0,510632000.0
Cost Of Revenue,146432000.0,157627000.0,153807000.0,150197000.0
Total Other Income Expense Net,-5624000.0,-100463000.0,-5916000.0,-8246000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,216785000.0,-121213000.0,-252982000.0,-24991000.0
Net Income Applicable To Common Shares,222615000.0,-105198000.0,-241160000.0,-19152000.0
