,2021-09-30,2021-06-30,2021-03-31,2020-09-30
Investments,-1000000.0,-1000000.0,-14000000.0,-1500000.0
Change To Liabilities,10433000.0,23233000.0,8376000.0,16373000.0
Total Cashflows From Investing Activities,-183070000.0,-1004909000.0,-18273000.0,-39037000.0
Net Borrowings,-9646000.0,-408359000.0,541562000.0,-6789000.0
Total Cash From Financing Activities,-75159000.0,1337392000.0,400374000.0,-9589000.0
Change To Operating Activities,-13878000.0,-67640000.0,-25273000.0,-16097000.0
Issuance Of Stock,8586000.0,1749246000.0,12882000.0,842000.0
Net Income,178000.0,14423000.0,-10521000.0,-89688000.0
Change In Cash,-134126000.0,422668000.0,443840000.0,-11102000.0
Effect Of Exchange Rate,-457000.0,-272000.0,-80000.0,56000.0
Total Cash From Operating Activities,124560000.0,90457000.0,61819000.0,37468000.0
Depreciation,119436000.0,107156000.0,88817000.0,73519000.0
Other Cashflows From Investing Activities,1358000.0,10000000.0,10000000.0,10000000.0
Change To Account Receivables,-30118000.0,-25964000.0,-43917000.0,-34770000.0
Other Cashflows From Financing Activities,-74099000.0,-3495000.0,-154070000.0,-3642000.0
Change To Netincome,35909000.0,37172000.0,40034000.0,85792000.0
Capital Expenditures,-309000.0,-532000.0,-121000.0,-1659000.0
