,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-2942500000.0,-2942500000.0,-4980500000.0,-4980500000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-4821000000.0,-4821000000.0,-3469000000.0,-3469000000.0
Net Borrowings,632500000.0,632500000.0,-318500000.0,-318500000.0
Total Cash From Financing Activities,-177500000.0,-177500000.0,-340500000.0,-340500000.0
Change To Operating Activities,-675000000.0,-675000000.0,296000000.0,296000000.0
Net Income,770000000.0,770000000.0,485000000.0,485000000.0
Change In Cash,-288500000.0,-288500000.0,123000000.0,123000000.0
Effect Of Exchange Rate,5500000.0,5500000.0,-17500000.0,-17500000.0
Total Cash From Operating Activities,4704000000.0,4704000000.0,3949500000.0,3949500000.0
Depreciation,198000000.0,198000000.0,268500000.0,268500000.0
Other Cashflows From Investing Activities,-2202000000.0,-2202000000.0,1944500000.0,1944500000.0
Dividends Paid,-785500000.0,-785500000.0,-785500000.0,-785500000.0
Change To Account Receivables,-75500000.0,-75500000.0,479000000.0,479000000.0
Other Cashflows From Financing Activities,-24500000.0,-24500000.0,-125000000.0,-125000000.0
Change To Netincome,4486500000.0,4486500000.0,2421000000.0,2421000000.0
Capital Expenditures,-33500000.0,-33500000.0,-121000000.0,-121000000.0
Issuance Of Stock,,,103000000.0,103000000.0
