,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,38689000000.0,40668000000.0,52017000000.0,52643000000.0
Total Liab,68211000000.0,68549000000.0,69860000000.0,72296000000.0
Total Stockholder Equity,7970000000.0,7592000000.0,6528000000.0,6190000000.0
Minority Interest,8353000000.0,8310000000.0,8413000000.0,8074000000.0
Other Current Liab,20566000000.0,19880000000.0,4723000000.0,4166000000.0
Total Assets,84534000000.0,84451000000.0,84801000000.0,86560000000.0
Common Stock,826000000.0,826000000.0,826000000.0,826000000.0
Other Current Assets,23360000000.0,21188000000.0,1390000000.0,872000000.0
Retained Earnings,474000000.0,34000000.0,-67000000.0,-1177000000.0
Other Liab,8119000000.0,8257000000.0,11452000000.0,11646000000.0
Good Will,8433000000.0,8429000000.0,12785000000.0,12785000000.0
Treasury Stock,6670000000.0,6732000000.0,5769000000.0,6541000000.0
Other Assets,642000000.0,674000000.0,3064000000.0,3114000000.0
Cash,6807000000.0,6120000000.0,7249000000.0,8385000000.0
Total Current Liabilities,24639000000.0,24498000000.0,12351000000.0,14441000000.0
Deferred Long Term Asset Charges,585000000.0,595000000.0,2404000000.0,2469000000.0
Short Long Term Debt,3163000000.0,2973000000.0,5172000000.0,6887000000.0
Other Stockholder Equity,6820000000.0,6882000000.0,5919000000.0,6691000000.0
Property Plant Equipment,632000000.0,645000000.0,758000000.0,773000000.0
Total Current Assets,33113000000.0,30807000000.0,12187000000.0,13192000000.0
Long Term Investments,3025000000.0,3228000000.0,3990000000.0,4053000000.0
Net Tangible Assets,-39152000000.0,-41505000000.0,-58274000000.0,-59238000000.0
Short Term Investments,473000000.0,566000000.0,589000000.0,539000000.0
Net Receivables,2450000000.0,2909000000.0,2841000000.0,3282000000.0
Long Term Debt,35453000000.0,35794000000.0,46057000000.0,46209000000.0
Inventory,23000000.0,24000000.0,118000000.0,114000000.0
Accounts Payable,788000000.0,857000000.0,1916000000.0,1592000000.0
