,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,4170000000.0,4071000000.0,4389000000.0,4049000000.0
Capital Surplus,6651000000.0,6640000000.0,6623000000.0,6613000000.0
Total Liab,202024000000.0,193878000000.0,187334000000.0,182631000000.0
Total Stockholder Equity,20389000000.0,20006000000.0,17291000000.0,18657000000.0
Minority Interest,1983000000.0,1665000000.0,1045000000.0,1483000000.0
Deferred Long Term Liab,940000000.0,893000000.0,914000000.0,857000000.0
Other Current Liab,18966000000.0,18712000000.0,17075000000.0,17390000000.0
Total Assets,224396000000.0,215549000000.0,205670000000.0,202771000000.0
Other Current Assets,66927000000.0,68496000000.0,68559000000.0,71768000000.0
Retained Earnings,10727000000.0,10029000000.0,8647000000.0,8073000000.0
Other Liab,180298000000.0,172358000000.0,167929000000.0,162197000000.0
Treasury Stock,3011000000.0,3337000000.0,2021000000.0,3971000000.0
Other Assets,35115000000.0,32818000000.0,31318000000.0,29840000000.0
Cash,7753000000.0,8057000000.0,6427000000.0,7704000000.0
Total Current Liabilities,19257000000.0,19052000000.0,17428000000.0,18458000000.0
Short Long Term Debt,5000000.0,62000000.0,60000000.0,34000000.0
Other Stockholder Equity,3011000000.0,3337000000.0,2021000000.0,3971000000.0
Total Current Assets,78662000000.0,80424000000.0,78718000000.0,83259000000.0
Long Term Investments,106449000000.0,98236000000.0,91245000000.0,85623000000.0
Net Tangible Assets,20389000000.0,20006000000.0,17291000000.0,18657000000.0
Short Term Investments,125000000.0,101000000.0,112000000.0,170000000.0
Long Term Debt,2469000000.0,2468000000.0,1977000000.0,1976000000.0
Accounts Payable,233000000.0,228000000.0,245000000.0,993000000.0
Net Receivables,,,,55000000.0
