,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,4205600000.0,4372000000.0,3932200000.0,4048800000.0
Total Liab,8094400000.0,8263800000.0,6932700000.0,7232200000.0
Total Stockholder Equity,3101100000.0,1982200000.0,1802400000.0,1670600000.0
Other Current Liab,380500000.0,390900000.0,340200000.0,275000000.0
Total Assets,12199200000.0,11249700000.0,9738800000.0,9906500000.0
Common Stock,2749300000.0,1747700000.0,1743200000.0,1737600000.0
Other Current Assets,109800000.0,90000000.0,80300000.0,91400000.0
Retained Earnings,389900000.0,233100000.0,75300000.0,-88700000.0
Other Liab,1224500000.0,1274600000.0,1085700000.0,1023800000.0
Good Will,3506300000.0,3557800000.0,2820100000.0,2860200000.0
Treasury Stock,-38100000.0,1400000.0,-16100000.0,21700000.0
Other Assets,240000000.0,244600000.0,217100000.0,91300000.0
Cash,1426100000.0,223000000.0,172500000.0,286600000.0
Total Current Liabilities,1320100000.0,1377700000.0,1240700000.0,1242700000.0
Short Long Term Debt,37000000.0,39500000.0,26500000.0,22800000.0
Other Stockholder Equity,-38100000.0,1400000.0,-16100000.0,21700000.0
Property Plant Equipment,682700000.0,652600000.0,537400000.0,675300000.0
Total Current Assets,3564600000.0,2422700000.0,2232000000.0,2230900000.0
Net Tangible Assets,-4610800000.0,-5947600000.0,-4949900000.0,-5238400000.0
Net Receivables,1184700000.0,1268800000.0,1201500000.0,1113300000.0
Long Term Debt,5477800000.0,5539100000.0,4534600000.0,4799600000.0
Inventory,844000000.0,840900000.0,777700000.0,739600000.0
Accounts Payable,698800000.0,755300000.0,706400000.0,678900000.0
Deferred Long Term Asset Charges,,,,10500000.0
