,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Net Income,1210000000.0,1320000000.0,1142000000.0,635000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Investments,,,13000000.0,13000000.0
Total Cashflows From Investing Activities,,,-136000000.0,-136000000.0
Net Borrowings,,,1231000000.0,1231000000.0
Total Cash From Financing Activities,,,1055000000.0,1055000000.0
Change To Operating Activities,,,-28062000000.0,-28062000000.0
Issuance Of Stock,,,481000000.0,481000000.0
Change In Cash,,,6295000000.0,6295000000.0
Repurchase Of Stock,,,-526000000.0,-526000000.0
Effect Of Exchange Rate,,,-1644000000.0,-1644000000.0
Total Cash From Operating Activities,,,7020000000.0,7020000000.0
Depreciation,,,366000000.0,366000000.0
Other Cashflows From Investing Activities,,,113000000.0,113000000.0
Other Cashflows From Financing Activities,,,-131000000.0,-131000000.0
Change To Netincome,,,1308000000.0,1308000000.0
Capital Expenditures,,,-40000000.0,-40000000.0
