,2021-10-31,2021-07-31,2021-04-30,2021-01-31
Change To Liabilities,79000000.0,-36000000.0,69000000.0,-17000000.0
Total Cashflows From Investing Activities,-20000000.0,-15000000.0,-22000000.0,-27000000.0
Net Borrowings,-134000000.0,-50000000.0,-103000000.0,-49000000.0
Total Cash From Financing Activities,-221000000.0,-141000000.0,-191000000.0,-139000000.0
Change To Operating Activities,12000000.0,26000000.0,1000000.0,-1000000.0
Net Income,236000000.0,192000000.0,120000000.0,219000000.0
Change In Cash,-99000000.0,22000000.0,44000000.0,142000000.0
Repurchase Of Stock,-1000000.0,-5000000.0,-3000000.0,-4000000.0
Effect Of Exchange Rate,-8000000.0,-7000000.0,12000000.0,19000000.0
Total Cash From Operating Activities,150000000.0,185000000.0,245000000.0,289000000.0
Depreciation,21000000.0,19000000.0,19000000.0,19000000.0
Dividends Paid,-86000000.0,-86000000.0,-85000000.0,-86000000.0
Change To Inventory,-26000000.0,-25000000.0,-23000000.0,15000000.0
Change To Account Receivables,-131000000.0,-55000000.0,69000000.0,76000000.0
Change To Netincome,-26000000.0,27000000.0,-2000000.0,-3000000.0
Capital Expenditures,-19000000.0,-14000000.0,-21000000.0,-12000000.0
