,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,2286800000.0,2385000000.0,2988100000.0,3084300000.0
Total Liab,12925000000.0,13255600000.0,13191500000.0,13932800000.0
Total Stockholder Equity,10429900000.0,10751900000.0,10682200000.0,10700300000.0
Minority Interest,451800000.0,462900000.0,-19000000.0,-14200000.0
Other Current Liab,1264400000.0,1447000000.0,1322500000.0,1571200000.0
Total Assets,23806700000.0,24470400000.0,23854700000.0,24618900000.0
Common Stock,100000.0,100000.0,100000.0,100000.0
Other Current Assets,736300000.0,767900000.0,786100000.0,881100000.0
Retained Earnings,13543500000.0,13900700000.0,13833500000.0,13976300000.0
Other Liab,2092900000.0,2275300000.0,2378500000.0,2362400000.0
Good Will,5760500000.0,5763900000.0,5763100000.0,5762100000.0
Treasury Stock,-3113700000.0,-3148900000.0,-3151400000.0,-3276100000.0
Other Assets,1824500000.0,1857300000.0,1301500000.0,1369500000.0
Cash,1541800000.0,1742000000.0,1217500000.0,1331200000.0
Total Current Liabilities,4211600000.0,3347200000.0,3165800000.0,3742200000.0
Deferred Long Term Asset Charges,1810400000.0,1849900000.0,1286300000.0,1369500000.0
Short Long Term Debt,998800000.0,,,
Other Stockholder Equity,-136600000.0,-171800000.0,-174300000.0,-299000000.0
Property Plant Equipment,3799800000.0,3844700000.0,3852800000.0,3844800000.0
Total Current Assets,7162300000.0,7183700000.0,6719500000.0,6887100000.0
Long Term Investments,2972800000.0,3435800000.0,3229700000.0,3671100000.0
Net Tangible Assets,2382600000.0,2603000000.0,1931000000.0,1853900000.0
Short Term Investments,1413300000.0,1308800000.0,1320000000.0,1278900000.0
Net Receivables,2123000000.0,2110200000.0,2224100000.0,2327300000.0
Long Term Debt,6272300000.0,7269200000.0,7267200000.0,7426200000.0
Inventory,1347900000.0,1254800000.0,1171800000.0,1068600000.0
Accounts Payable,427900000.0,375300000.0,430400000.0,454900000.0
