,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,1045280000.0,1044999000.0,1060364000.0,1049660000.0
Capital Surplus,830066000.0,784620000.0,772866000.0,794909000.0
Total Liab,5521547000.0,5411893000.0,5079796000.0,5212269000.0
Total Stockholder Equity,4107619000.0,3946002000.0,3830997000.0,3754223000.0
Deferred Long Term Liab,54100000.0,49600000.0,45700000.0,42200000.0
Other Current Liab,826291000.0,573197000.0,550534000.0,628936000.0
Total Assets,9629166000.0,9357895000.0,8910793000.0,8966492000.0
Common Stock,30093000.0,30010000.0,30022000.0,29969000.0
Other Current Assets,602543000.0,657924000.0,577969000.0,602187000.0
Retained Earnings,3927912000.0,3807684000.0,3694457000.0,3520683000.0
Other Liab,705348000.0,684596000.0,662717000.0,659076000.0
Good Will,4565156000.0,4513970000.0,4473042000.0,4395918000.0
Treasury Stock,-680452000.0,-676312000.0,-666348000.0,-591338000.0
Other Assets,192933000.0,185681000.0,165910000.0,149581000.0
Cash,943969000.0,850230000.0,678744000.0,817398000.0
Total Current Liabilities,2889141000.0,2800922000.0,2240982000.0,2354352000.0
Short Long Term Debt,290000000.0,300000000.0,70000000.0,70000000.0
Other Stockholder Equity,-6550000.0,-3549000.0,-4990000.0,
Property Plant Equipment,396171000.0,388781000.0,386712000.0,388113000.0
Total Current Assets,3398277000.0,3191842000.0,2793031000.0,2958249000.0
Long Term Investments,31349000.0,32622000.0,31734000.0,24971000.0
Net Tangible Assets,-1502817000.0,-1612967000.0,-1702409000.0,-1691355000.0
Short Term Investments,14428000.0,13080000.0,11926000.0,18332000.0
Net Receivables,1426085000.0,1301897000.0,1179361000.0,1142717000.0
Long Term Debt,1755487000.0,1762294000.0,2009100000.0,2025906000.0
Accounts Payable,1440978000.0,1616560000.0,1393329000.0,1389026000.0
