,2021-08-29,2021-05-30,2021-02-28,2020-11-29
Investments,-1900000.0,1200000.0,-400000.0,-400000.0
Change To Liabilities,122400000.0,57100000.0,-79500000.0,34900000.0
Total Cashflows From Investing Activities,-154900000.0,-58400000.0,-11400000.0,-127600000.0
Net Borrowings,226600000.0,-223700000.0,-70300000.0,-392100000.0
Total Cash From Financing Activities,5500000.0,-346000000.0,-503600000.0,-500400000.0
Change To Operating Activities,-35600000.0,-35500000.0,122900000.0,-77300000.0
Net Income,235400000.0,309500000.0,281400000.0,378900000.0
Change In Cash,-12200000.0,-1500000.0,12700000.0,-370200000.0
Repurchase Of Stock,-67600000.0,-67600000.0,-298100000.0,-298100000.0
Effect Of Exchange Rate,-2600000.0,4800000.0,-900000.0,900000.0
Total Cash From Operating Activities,139800000.0,398100000.0,528600000.0,256900000.0
Depreciation,90200000.0,90900000.0,87800000.0,88500000.0
Dividends Paid,-132100000.0,-132900000.0,-134400000.0,-103800000.0
Change To Inventory,-220700000.0,-157600000.0,40500000.0,-44400000.0
Change To Account Receivables,-40500000.0,47600000.0,106800000.0,-140700000.0
Other Cashflows From Financing Activities,-21400000.0,2300000.0,-800000.0,-5400000.0
Change To Netincome,-11400000.0,86100000.0,-31300000.0,17000000.0
Capital Expenditures,-154900000.0,-109700000.0,-114700000.0,-136500000.0
Issuance Of Stock,,8300000.0,8300000.0,900000.0
Other Cashflows From Investing Activities,,,,-100000.0
