,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,794000000.0,-988000000.0,4954000000.0,718000000.0
Minority Interest,29000000.0,29000000.0,29000000.0,25000000.0
Net Income,620000000.0,-605000000.0,4786000000.0,655000000.0
Selling General Administrative,1606000000.0,1598000000.0,1149000000.0,1056000000.0
Gross Profit,2681000000.0,2699000000.0,1889000000.0,2028000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,971000000.0,969000000.0,694000000.0,995000000.0
Other Operating Expenses,104000000.0,132000000.0,46000000.0,-23000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,174000000.0,-383000000.0,168000000.0,62000000.0
Total Revenue,2681000000.0,2699000000.0,1889000000.0,2028000000.0
Total Operating Expenses,1710000000.0,1730000000.0,1195000000.0,1033000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,-177000000.0,-1957000000.0,4260000000.0,-277000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,620000000.0,-605000000.0,4786000000.0,656000000.0
Net Income Applicable To Common Shares,620000000.0,-605000000.0,4786000000.0,512000000.0
