,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,503300000.0,487300000.0,419200000.0,445100000.0
Capital Surplus,3335700000.0,3294100000.0,3262600000.0,3204900000.0
Total Liab,8174600000.0,7942100000.0,7883200000.0,8047600000.0
Total Stockholder Equity,837000000.0,1048800000.0,1170300000.0,1297100000.0
Other Current Liab,690800000.0,667700000.0,724500000.0,642900000.0
Total Assets,9011600000.0,8990900000.0,9053500000.0,9344700000.0
Common Stock,1400000.0,1400000.0,1400000.0,1400000.0
Retained Earnings,-2402600000.0,-2163500000.0,-2004600000.0,-1813400000.0
Other Liab,144300000.0,101300000.0,97700000.0,124000000.0
Good Will,2804600000.0,2731900000.0,2812400000.0,2595900000.0
Treasury Stock,-97500000.0,-83200000.0,-89100000.0,-95800000.0
Other Assets,110000000.0,49300000.0,48300000.0,43900000.0
Cash,245100000.0,501200000.0,878600000.0,1410200000.0
Total Current Liabilities,3833200000.0,3770100000.0,3709300000.0,3898300000.0
Short Long Term Debt,28500000.0,19800000.0,19600000.0,70900000.0
Other Stockholder Equity,-97500000.0,-83200000.0,-89100000.0,-95800000.0
Property Plant Equipment,301500000.0,300800000.0,303800000.0,306300000.0
Total Current Assets,5292200000.0,5421600000.0,5469800000.0,5953500000.0
Net Tangible Assets,-2470900000.0,-2170400000.0,-2061300000.0,-1743900000.0
Net Receivables,3955300000.0,3801400000.0,3630700000.0,3592100000.0
Long Term Debt,4037700000.0,3909200000.0,3911100000.0,3856300000.0
Inventory,844400000.0,888700000.0,745100000.0,760000000.0
Accounts Payable,2280700000.0,2207400000.0,2050800000.0,2088400000.0
