,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,72200000.0,144700000.0,-37200000.0,146900000.0
Total Cashflows From Investing Activities,-155800000.0,19500000.0,-233600000.0,-28900000.0
Net Borrowings,78600000.0,30200000.0,-180300000.0,-139500000.0
Total Cash From Financing Activities,-389300000.0,-399000000.0,-643500000.0,-392900000.0
Change To Operating Activities,37800000.0,-179700000.0,90700000.0,69800000.0
Issuance Of Stock,18900000.0,4100000.0,37700000.0,37700000.0
Net Income,266600000.0,274100000.0,232600000.0,238300000.0
Change In Cash,-256100000.0,-377400000.0,-531600000.0,160700000.0
Repurchase Of Stock,-450600000.0,-376900000.0,-386200000.0,-200200000.0
Effect Of Exchange Rate,-2800000.0,1800000.0,900000.0,6600000.0
Total Cash From Operating Activities,291800000.0,300000.0,344600000.0,575900000.0
Depreciation,48200000.0,46600000.0,45200000.0,76600000.0
Dividends Paid,-54800000.0,-55800000.0,-56500000.0,-57200000.0
Change To Inventory,40400000.0,-143300000.0,15400000.0,-37200000.0
Change To Account Receivables,-183000000.0,-124800000.0,-15700000.0,78500000.0
Other Cashflows From Financing Activities,18600000.0,-600000.0,-58200000.0,4000000.0
Change To Netincome,9600000.0,-17300000.0,13600000.0,3000000.0
Capital Expenditures,-27700000.0,-17800000.0,-20700000.0,-24400000.0
Investments,,36000000.0,36000000.0,36000000.0
