,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,324487000.0,-163795000.0,-14735000.0,-65318000.0
Change To Liabilities,-14892000.0,8526000.0,44886000.0,64716000.0
Total Cashflows From Investing Activities,205259000.0,-728634000.0,-182185000.0,-204412000.0
Total Cash From Financing Activities,-417699000.0,-392493000.0,117115000.0,-115970000.0
Change To Operating Activities,31028000.0,1798000.0,11196000.0,46635000.0
Issuance Of Stock,59677000.0,118386000.0,36514000.0,50925000.0
Net Income,175795000.0,32707000.0,172252000.0,141505000.0
Change In Cash,213136000.0,-751457000.0,382246000.0,196461000.0
Repurchase Of Stock,-400813000.0,-439734000.0,-346612000.0,-107999000.0
Effect Of Exchange Rate,-9245000.0,535000.0,-3118000.0,4183000.0
Total Cash From Operating Activities,434821000.0,369135000.0,450434000.0,512660000.0
Depreciation,115027000.0,114007000.0,110463000.0,114909000.0
Other Cashflows From Investing Activities,9349000.0,9349000.0,9349000.0,9349000.0
Dividends Paid,-66794000.0,-67783000.0,-67477000.0,-55184000.0
Change To Inventory,-5228000.0,10279000.0,-7411000.0,-7246000.0
Change To Account Receivables,7803000.0,-29450000.0,-12301000.0,82381000.0
Other Cashflows From Financing Activities,-9769000.0,-3362000.0,-5310000.0,-3712000.0
Change To Netincome,57551000.0,175814000.0,45121000.0,19243000.0
Capital Expenditures,-47532000.0,-123356000.0,-75925000.0,-45928000.0
Net Borrowings,,,500000000.0,500000000.0
