,2021-09-30,2021-06-30,2021-03-31,2020-09-30
Investments,-265248000.0,51928000.0,15075000.0,17496000.0
Change To Liabilities,12916000.0,21319000.0,10404000.0,10146000.0
Total Cashflows From Investing Activities,-267860000.0,49683000.0,13845000.0,16417000.0
Total Cash From Financing Activities,8240000.0,809468000.0,13460000.0,16906000.0
Change To Operating Activities,1903000.0,-19051000.0,-14509000.0,-10188000.0
Issuance Of Stock,10445000.0,810235000.0,13613000.0,6906000.0
Net Income,-95666000.0,-88170000.0,-44526000.0,-138141000.0
Change In Cash,-277650000.0,815983000.0,7308000.0,24199000.0
Effect Of Exchange Rate,-1000.0,-2000.0,-8000.0,51000.0
Total Cash From Operating Activities,-18029000.0,-43166000.0,-19989000.0,-9175000.0
Depreciation,897000.0,756000.0,787000.0,488000.0
Other Cashflows From Investing Activities,3000.0,3000.0,9000.0,9000.0
Change To Account Receivables,979000.0,-17587000.0,5734000.0,1738000.0
Other Cashflows From Financing Activities,-2205000.0,-767000.0,-153000.0,-153000.0
Change To Netincome,54203000.0,53519000.0,16586000.0,122657000.0
Capital Expenditures,-563000.0,-1030000.0,-643000.0,-209000.0
