,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,701300000.0,1252700000.0,1164300000.0,697100000.0
Minority Interest,273800000.0,285000000.0,250200000.0,241000000.0
Net Income,532800000.0,925000000.0,869300000.0,518800000.0
Selling General Administrative,99600000.0,82300000.0,91700000.0,108400000.0
Gross Profit,877000000.0,1433300000.0,1309700000.0,842000000.0
Ebit,777400000.0,1351000000.0,1218000000.0,733600000.0
Operating Income,777400000.0,1351000000.0,1218000000.0,733600000.0
Other Operating Expenses,,,,
Interest Expense,-72500000.0,-72000000.0,-65400000.0,-62600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,153900000.0,306200000.0,273400000.0,142500000.0
Total Revenue,1639500000.0,2706300000.0,2437200000.0,1514700000.0
Total Operating Expenses,862100000.0,1355300000.0,1219200000.0,781100000.0
Cost Of Revenue,762500000.0,1273000000.0,1127500000.0,672700000.0
Total Other Income Expense Net,-76100000.0,-98300000.0,-53700000.0,-36500000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,547400000.0,946500000.0,890900000.0,554600000.0
Net Income Applicable To Common Shares,532800000.0,925000000.0,869300000.0,518800000.0
