,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,3018800000.0,3049200000.0,3079400000.0,3110200000.0
Capital Surplus,327900000.0,320500000.0,306200000.0,274400000.0
Total Liab,3868400000.0,3991300000.0,4169700000.0,4394100000.0
Total Stockholder Equity,3513600000.0,3377200000.0,3211200000.0,3020400000.0
Other Current Liab,7400000.0,55500000.0,145700000.0,12700000.0
Total Assets,7382000000.0,7368500000.0,7380900000.0,7414500000.0
Common Stock,292800000.0,292800000.0,292800000.0,292800000.0
Other Current Assets,37100000.0,36900000.0,37200000.0,35100000.0
Retained Earnings,5269600000.0,5101200000.0,4944800000.0,4786000000.0
Other Liab,915700000.0,942200000.0,917100000.0,967700000.0
Good Will,2230600000.0,2229800000.0,2229600000.0,2229600000.0
Treasury Stock,-2376700000.0,-2337300000.0,-2332600000.0,-2332800000.0
Other Assets,164300000.0,165000000.0,159000000.0,158800000.0
Cash,180000000.0,149800000.0,127500000.0,183100000.0
Total Current Liabilities,1584400000.0,1376100000.0,1274300000.0,1388600000.0
Short Long Term Debt,299600000.0,200000000.0,,
Other Stockholder Equity,-60900000.0,-65800000.0,-54600000.0,-77600000.0
Property Plant Equipment,782500000.0,785900000.0,791200000.0,794400000.0
Total Current Assets,1176800000.0,1128700000.0,1111800000.0,1112400000.0
Long Term Investments,9000000.0,9900000.0,9900000.0,9100000.0
Net Tangible Assets,-1735800000.0,-1901800000.0,-2097800000.0,-2319400000.0
Net Receivables,407000000.0,386200000.0,405800000.0,398800000.0
Long Term Debt,1214800000.0,1513800000.0,1813100000.0,1869500000.0
Inventory,552700000.0,555800000.0,541300000.0,495400000.0
Accounts Payable,617500000.0,566800000.0,547300000.0,588100000.0
