,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,935528000.0,892844000.0,875401000.0,972278000.0
Effect Of Accounting Charges,,,,
Income Before Tax,12101518000.0,11464942000.0,11320348000.0,10406091000.0
Minority Interest,11481873000.0,11436633000.0,11683751000.0,11158000000.0
Net Income,9366784000.0,8947528000.0,8804944000.0,8224790000.0
Selling General Administrative,6356684000.0,6324197000.0,6187768000.0,7013627000.0
Gross Profit,18839683000.0,18542903000.0,18208080000.0,17148739000.0
Ebit,11446765000.0,11282536000.0,11101342000.0,9176422000.0
Operating Income,11446765000.0,11282536000.0,11101342000.0,9176422000.0
Other Operating Expenses,,,-3000000.0,-3000000.0
Interest Expense,-56089000.0,-55016000.0,-50726000.0,-57995000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2368741000.0,2195481000.0,2198718000.0,1818218000.0
Total Revenue,50885502000.0,49601135000.0,50100995000.0,59479811000.0
Total Operating Expenses,39438737000.0,38318599000.0,38999653000.0,50303389000.0
Cost Of Revenue,32045819000.0,31058232000.0,31892915000.0,42331072000.0
Total Other Income Expense Net,654753000.0,182406000.0,219006000.0,1229669000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,9732777000.0,9269461000.0,9121630000.0,8587873000.0
Net Income Applicable To Common Shares,9366784000.0,8947528000.0,8804944000.0,8224790000.0
