,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,10596000000.0,10596000000.0,12087500000.0,12087500000.0
Minority Interest,116759000000.0,116759000000.0,123352000000.0,123352000000.0
Net Income,9150000000.0,9150000000.0,8071500000.0,8071500000.0
Selling General Administrative,15542500000.0,15542500000.0,15653500000.0,15653500000.0
Gross Profit,41718000000.0,41718000000.0,42117500000.0,42117500000.0
Ebit,7252000000.0,7252000000.0,9876000000.0,9876000000.0
Operating Income,7252000000.0,7252000000.0,9876000000.0,9876000000.0
Other Operating Expenses,7532000000.0,7532000000.0,5647000000.0,5647000000.0
Interest Expense,-2675000000.0,-2675000000.0,-2729500000.0,-2729500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-111000000.0,-111000000.0,1736500000.0,1736500000.0
Total Revenue,67748000000.0,67748000000.0,70872500000.0,70872500000.0
Total Operating Expenses,60496000000.0,60496000000.0,60996500000.0,60996500000.0
Cost Of Revenue,26030000000.0,26030000000.0,28755000000.0,28755000000.0
Total Other Income Expense Net,3344000000.0,3344000000.0,2211500000.0,2211500000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,10707000000.0,10707000000.0,10351000000.0,10351000000.0
Net Income Applicable To Common Shares,9150000000.0,9150000000.0,8071500000.0,8071500000.0
