,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Research Development,177000000.0,186000000.0,175000000.0,182000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1475000000.0,1495000000.0,1367000000.0,1296000000.0
Minority Interest,,,,
Net Income,1130000000.0,1136000000.0,1041000000.0,997000000.0
Selling General Administrative,1500000000.0,1495000000.0,1516000000.0,1426000000.0
Gross Profit,3251000000.0,3206000000.0,3160000000.0,2970000000.0
Ebit,1577000000.0,1538000000.0,1472000000.0,1368000000.0
Operating Income,1577000000.0,1538000000.0,1472000000.0,1368000000.0
Other Operating Expenses,-3000000.0,-11000000.0,-3000000.0,-6000000.0
Interest Expense,,-7000000.0,-11000000.0,-11000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,345000000.0,359000000.0,326000000.0,299000000.0
Total Revenue,4753000000.0,4738000000.0,4590000000.0,4419000000.0
Total Operating Expenses,3176000000.0,3200000000.0,3118000000.0,3051000000.0
Cost Of Revenue,1502000000.0,1532000000.0,1430000000.0,1449000000.0
Total Other Income Expense Net,-102000000.0,-43000000.0,-105000000.0,-72000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1130000000.0,1136000000.0,1041000000.0,997000000.0
Net Income Applicable To Common Shares,1130000000.0,1136000000.0,1041000000.0,997000000.0
