,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,-96000000.0,217000000.0,71000000.0,3000000.0
Total Cashflows From Investing Activities,-56000000.0,-111000000.0,-83000000.0,-107000000.0
Net Borrowings,86000000.0,86000000.0,86000000.0,86000000.0
Total Cash From Financing Activities,-92000000.0,-447000000.0,-420000000.0,-277000000.0
Change To Operating Activities,-14000000.0,-2000000.0,-13000000.0,2000000.0
Net Income,142000000.0,97000000.0,-61000000.0,259000000.0
Change In Cash,-110000000.0,-173000000.0,-240000000.0,-130000000.0
Repurchase Of Stock,-25000000.0,-300000000.0,-305000000.0,-200000000.0
Effect Of Exchange Rate,-3000000.0,2000000.0,-1000000.0,8000000.0
Total Cash From Operating Activities,41000000.0,383000000.0,264000000.0,246000000.0
Depreciation,55000000.0,48000000.0,53000000.0,53000000.0
Other Cashflows From Investing Activities,-4000000.0,-12000000.0,-2000000.0,-25000000.0
Dividends Paid,-142000000.0,-138000000.0,-140000000.0,-140000000.0
Change To Inventory,-37000000.0,-62000000.0,-80000000.0,-70000000.0
Change To Account Receivables,-53000000.0,36000000.0,-26000000.0,80000000.0
Other Cashflows From Financing Activities,-11000000.0,-13000000.0,-13000000.0,-11000000.0
Change To Netincome,20000000.0,53000000.0,298000000.0,51000000.0
Capital Expenditures,-52000000.0,-99000000.0,-81000000.0,-82000000.0
Issuance Of Stock,,4000000.0,25000000.0,74000000.0
