,2021-07-04,2021-04-04,2020-12-31,2020-09-27
Research Development,276000000.0,260000000.0,255000000.0,224000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,779000000.0,783000000.0,635000000.0,686000000.0
Minority Interest,927000000.0,922000000.0,927000000.0,941000000.0
Net Income,600000000.0,603000000.0,501000000.0,501000000.0
Selling General Administrative,625000000.0,550000000.0,559000000.0,517000000.0
Gross Profit,1478000000.0,1486000000.0,1405000000.0,1305000000.0
Ebit,575000000.0,671000000.0,540000000.0,603000000.0
Operating Income,575000000.0,671000000.0,540000000.0,603000000.0
Other Operating Expenses,2000000.0,5000000.0,51000000.0,-39000000.0
Interest Expense,-29000000.0,-28000000.0,-29000000.0,-25000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,167000000.0,172000000.0,125000000.0,182000000.0
Total Revenue,6111000000.0,6092000000.0,5830000000.0,5118000000.0
Total Operating Expenses,5536000000.0,5421000000.0,5290000000.0,4515000000.0
Cost Of Revenue,4633000000.0,4606000000.0,4425000000.0,3813000000.0
Total Other Income Expense Net,204000000.0,112000000.0,95000000.0,83000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,612000000.0,611000000.0,510000000.0,504000000.0
Net Income Applicable To Common Shares,600000000.0,603000000.0,501000000.0,501000000.0
