,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,179000000.0,175000000.0,350000000.0,197000000.0
Minority Interest,563000000.0,569000000.0,575000000.0,581000000.0
Net Income,189000000.0,176000000.0,349000000.0,158000000.0
Selling General Administrative,-40000000.0,-40000000.0,-41000000.0,-28000000.0
Gross Profit,591000000.0,583000000.0,887000000.0,728000000.0
Ebit,300000000.0,292000000.0,468000000.0,380000000.0
Operating Income,300000000.0,292000000.0,468000000.0,380000000.0
Other Operating Expenses,81000000.0,87000000.0,122000000.0,95000000.0
Interest Expense,-126000000.0,-125000000.0,-125000000.0,-140000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,26000000.0,22000000.0,42000000.0,35000000.0
Total Revenue,1725000000.0,1558000000.0,2013000000.0,1798000000.0
Total Operating Expenses,1425000000.0,1266000000.0,1545000000.0,1418000000.0
Cost Of Revenue,1134000000.0,975000000.0,1126000000.0,1070000000.0
Total Other Income Expense Net,-121000000.0,-117000000.0,-118000000.0,-183000000.0
Discontinued Operations,30000000.0,18000000.0,34000000.0,34000000.0
Net Income From Continuing Ops,153000000.0,153000000.0,308000000.0,162000000.0
Net Income Applicable To Common Shares,186000000.0,176000000.0,349000000.0,158000000.0
