,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,-684000000.0,475000000.0,330000000.0,912000000.0
Total Cashflows From Investing Activities,-821000000.0,-575000000.0,-190000000.0,-1206000000.0
Net Borrowings,-210000000.0,295000000.0,-1593000000.0,519000000.0
Total Cash From Financing Activities,-211000000.0,113000000.0,-1594000000.0,515000000.0
Change To Operating Activities,-65000000.0,383000000.0,-4000000.0,499000000.0
Net Income,323000000.0,690000000.0,408000000.0,164000000.0
Change In Cash,-670000000.0,617000000.0,-1662000000.0,2496000000.0
Effect Of Exchange Rate,-159000000.0,80000000.0,-250000000.0,421000000.0
Total Cash From Operating Activities,521000000.0,999000000.0,372000000.0,2766000000.0
Depreciation,280000000.0,290000000.0,287000000.0,56000000.0
Other Cashflows From Investing Activities,-381000000.0,-147000000.0,178000000.0,-346000000.0
Dividends Paid,-4000000.0,-180000000.0,-180000000.0,-180000000.0
Change To Inventory,-272000000.0,-303000000.0,-902000000.0,1148000000.0
Change To Account Receivables,797000000.0,-476000000.0,132000000.0,-612000000.0
Other Cashflows From Financing Activities,3000000.0,-2000000.0,-1000000.0,-4000000.0
Change To Netincome,142000000.0,-60000000.0,121000000.0,333000000.0
Capital Expenditures,-443000000.0,-441000000.0,-368000000.0,-860000000.0
