,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,966500000.0,966500000.0,632500000.0,632500000.0
Minority Interest,349000000.0,349000000.0,311000000.0,311000000.0
Net Income,649000000.0,649000000.0,445000000.0,445000000.0
Selling General Administrative,1873500000.0,1873500000.0,1658500000.0,1658500000.0
Gross Profit,3041500000.0,3041500000.0,2659500000.0,2659500000.0
Ebit,1168000000.0,1168000000.0,1001000000.0,1001000000.0
Operating Income,1168000000.0,1168000000.0,1001000000.0,1001000000.0
Other Operating Expenses,,,,
Interest Expense,-76000000.0,-76000000.0,-99500000.0,-99500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,296500000.0,296500000.0,171500000.0,171500000.0
Total Revenue,11065500000.0,11065500000.0,10182000000.0,10182000000.0
Total Operating Expenses,9897500000.0,9897500000.0,9181000000.0,9181000000.0
Cost Of Revenue,8024000000.0,8024000000.0,7522500000.0,7522500000.0
Total Other Income Expense Net,-201500000.0,-201500000.0,-368500000.0,-368500000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,670000000.0,670000000.0,461000000.0,461000000.0
Net Income Applicable To Common Shares,649000000.0,649000000.0,445000000.0,445000000.0
