,2021-10-31,2021-07-31,2021-04-30,2021-01-31
Change To Liabilities,61034000.0,-2987000.0,40242000.0,-27992000.0
Total Cashflows From Investing Activities,-63883000.0,-101670000.0,-80711000.0,-136263000.0
Net Borrowings,-157000.0,-156000.0,-340000.0,-295000.0
Total Cash From Financing Activities,5166000.0,9113000.0,5226000.0,7385000.0
Change To Operating Activities,-18244000.0,-7372000.0,7318000.0,-17616000.0
Issuance Of Stock,5572000.0,14476000.0,5717000.0,7978000.0
Net Income,260363000.0,255974000.0,286796000.0,193440000.0
Change In Cash,250113000.0,136370000.0,295487000.0,10671000.0
Repurchase Of Stock,-249000.0,-5207000.0,-151000.0,-298000.0
Effect Of Exchange Rate,-3710000.0,241000.0,1808000.0,5041000.0
Total Cash From Operating Activities,312540000.0,228686000.0,369164000.0,134508000.0
Depreciation,31760000.0,20093000.0,32007000.0,31351000.0
Change To Inventory,-3463000.0,-5814000.0,-9016000.0,-1513000.0
Change To Account Receivables,-82676000.0,-45920000.0,29555000.0,-53288000.0
Change To Netincome,17794000.0,18922000.0,-16737000.0,12921000.0
Capital Expenditures,-64696000.0,-98601000.0,-81181000.0,-136121000.0
