,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,523000000.0,523000000.0,573000000.0,573000000.0
Minority Interest,695000000.0,695000000.0,692000000.0,692000000.0
Net Income,392500000.0,392500000.0,359500000.0,359500000.0
Selling General Administrative,1732500000.0,1732500000.0,1910000000.0,1910000000.0
Gross Profit,2304500000.0,2304500000.0,2783000000.0,2783000000.0
Ebit,572000000.0,572000000.0,873000000.0,873000000.0
Operating Income,572000000.0,572000000.0,873000000.0,873000000.0
Other Operating Expenses,,,,
Interest Expense,-98000000.0,-98000000.0,-58000000.0,-58000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,115500000.0,115500000.0,193500000.0,193500000.0
Total Revenue,7022000000.0,7022000000.0,7686000000.0,7686000000.0
Total Operating Expenses,6450000000.0,6450000000.0,6813000000.0,6813000000.0
Cost Of Revenue,4717500000.0,4717500000.0,4903000000.0,4903000000.0
Total Other Income Expense Net,-49000000.0,-49000000.0,-300000000.0,-300000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,407500000.0,407500000.0,379500000.0,379500000.0
Net Income Applicable To Common Shares,392500000.0,392500000.0,359500000.0,359500000.0
