,2021-09-25,2021-06-26,2021-03-27,2020-12-26
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,123270000.0,127496000.0,66302000.0,172427000.0
Minority Interest,38055000.0,35639000.0,32292000.0,29066000.0
Net Income,103426000.0,88448000.0,61530000.0,143191000.0
Selling General Administrative,140718000.0,154756000.0,147890000.0,143735000.0
Gross Profit,337860000.0,342414000.0,308841000.0,300631000.0
Ebit,164290000.0,154688000.0,132109000.0,128888000.0
Operating Income,164290000.0,154688000.0,132109000.0,128888000.0
Other Operating Expenses,,,,
Interest Expense,-16455000.0,-16190000.0,-29719000.0,-33147000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,18111000.0,37580000.0,2367000.0,28237000.0
Total Revenue,895937000.0,914607000.0,824566000.0,790990000.0
Total Operating Expenses,731647000.0,759919000.0,692457000.0,662102000.0
Cost Of Revenue,558077000.0,572193000.0,515725000.0,490359000.0
Total Other Income Expense Net,-41020000.0,-27192000.0,-65807000.0,43539000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,105159000.0,89916000.0,63935000.0,144190000.0
Net Income Applicable To Common Shares,103426000.0,88448000.0,61530000.0,143191000.0
