,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,234000000.0,245000000.0,239000000.0,237000000.0
Capital Surplus,34813000000.0,34633000000.0,33523000000.0,33323000000.0
Total Liab,761086000000.0,752924000000.0,806511000000.0,762881000000.0
Total Stockholder Equity,44498000000.0,43580000000.0,44590000000.0,42677000000.0
Minority Interest,305000000.0,295000000.0,294000000.0,264000000.0
Other Current Liab,70728000000.0,67092000000.0,97486000000.0,493278000000.0
Total Assets,805889000000.0,796799000000.0,851395000000.0,805822000000.0
Common Stock,106000000.0,106000000.0,98000000.0,98000000.0
Other Current Assets,120173000000.0,121395000000.0,143294000000.0,166946000000.0
Retained Earnings,33149000000.0,32715000000.0,32582000000.0,32834000000.0
Other Liab,431126000000.0,432488000000.0,440098000000.0,21413000000.0
Good Will,4615000000.0,4588000000.0,4644000000.0,4426000000.0
Treasury Stock,-23570000000.0,-23874000000.0,-21613000000.0,-23578000000.0
Other Assets,10880000000.0,11289000000.0,11596000000.0,10421000000.0
Cash,151751000000.0,146358000000.0,133285000000.0,139112000000.0
Total Current Liabilities,152017000000.0,147557000000.0,193220000000.0,602990000000.0
Deferred Long Term Asset Charges,3807000000.0,4201000000.0,3964000000.0,3667000000.0
Other Stockholder Equity,-21213000000.0,-21697000000.0,-20667000000.0,-23150000000.0
Property Plant Equipment,7508000000.0,7428000000.0,7523000000.0,7376000000.0
Total Current Assets,775632000000.0,767877000000.0,821139000000.0,777343000000.0
Long Term Investments,7020000000.0,5372000000.0,6254000000.0,6019000000.0
Net Tangible Assets,39828000000.0,38936000000.0,39888000000.0,38194000000.0
Short Term Investments,84100000000.0,69800000000.0,66621000000.0,25223000000.0
Net Receivables,329995000000.0,337071000000.0,356708000000.0,332104000000.0
Long Term Debt,175320000000.0,170227000000.0,170453000000.0,136104000000.0
Accounts Payable,21389000000.0,20432000000.0,26890000000.0,21653000000.0
Inventory,,,19000000.0,24000000.0
Short Long Term Debt,,,,24983000000.0
