,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,451000000.0,,,
Total Liab,26957000000.0,26581000000.0,26532000000.0,26683000000.0
Total Stockholder Equity,13163000000.0,13426000000.0,13151000000.0,13101000000.0
Minority Interest,9000000.0,8000000.0,9000000.0,9000000.0
Other Current Liab,450000000.0,422000000.0,409000000.0,210000000.0
Total Assets,40129000000.0,40015000000.0,39692000000.0,39793000000.0
Common Stock,2218000000.0,2254000000.0,757000000.0,763000000.0
Other Current Assets,89000000.0,102000000.0,93000000.0,96000000.0
Retained Earnings,11455000000.0,11723000000.0,12476000000.0,12527000000.0
Other Liab,8025000000.0,7951000000.0,7973000000.0,7905000000.0
Treasury Stock,-510000000.0,-551000000.0,-82000000.0,-189000000.0
Other Assets,284000000.0,353000000.0,357000000.0,272000000.0
Cash,2179000000.0,2986000000.0,2955000000.0,3129000000.0
Total Current Liabilities,2268000000.0,1951000000.0,1800000000.0,2019000000.0
Short Long Term Debt,211000000.0,122000000.0,41000000.0,401000000.0
Other Stockholder Equity,-510000000.0,-551000000.0,-82000000.0,-189000000.0
Property Plant Equipment,33322000000.0,32948000000.0,32870000000.0,32916000000.0
Total Current Assets,3897000000.0,4573000000.0,4305000000.0,4441000000.0
Long Term Investments,2175000000.0,2141000000.0,2160000000.0,2164000000.0
Net Tangible Assets,12712000000.0,13426000000.0,13151000000.0,13101000000.0
Net Receivables,1326000000.0,1192000000.0,957000000.0,912000000.0
Long Term Debt,16182000000.0,16229000000.0,16306000000.0,16301000000.0
Inventory,303000000.0,289000000.0,298000000.0,302000000.0
Accounts Payable,972000000.0,879000000.0,859000000.0,809000000.0
Short Term Investments,,4000000.0,2000000.0,2000000.0
