,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,76262000.0,-15297000.0,3425000.0,-4922000.0
Total Cashflows From Investing Activities,-183894000.0,-151302000.0,-123525000.0,-96932000.0
Net Borrowings,-100000000.0,-100000000.0,-88000000.0,-28000000.0
Total Cash From Financing Activities,-143963000.0,-43963000.0,-133456000.0,-70967000.0
Change To Operating Activities,-9218000.0,4956000.0,-13914000.0,20326000.0
Net Income,62714000.0,30464000.0,126354000.0,131206000.0
Change In Cash,-82663000.0,-16323000.0,33546000.0,139943000.0
Total Cash From Operating Activities,245194000.0,178942000.0,290527000.0,307842000.0
Depreciation,97289000.0,91549000.0,94148000.0,96497000.0
Dividends Paid,-43963000.0,-43963000.0,-39887000.0,-39858000.0
Change To Inventory,4614000.0,-1525000.0,-600000.0,-548000.0
Change To Account Receivables,-102009000.0,15143000.0,16881000.0,-77985000.0
Change To Netincome,148138000.0,92703000.0,40011000.0,-8103000.0
Capital Expenditures,-184101000.0,-151322000.0,-123617000.0,-97425000.0
Repurchase Of Stock,,,-5569000.0,-3109000.0
