,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,297000000.0,293000000.0,281000000.0,305000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,8000000.0,1302000000.0,791000000.0,-70000000.0
Minority Interest,239000000.0,240000000.0,240000000.0,239000000.0
Net Income,30000000.0,970000000.0,600000000.0,41000000.0
Selling General Administrative,998000000.0,670000000.0,408000000.0,631000000.0
Gross Profit,813000000.0,2617000000.0,1758000000.0,1095000000.0
Ebit,-662000000.0,1474000000.0,886000000.0,-22000000.0
Operating Income,-662000000.0,1474000000.0,886000000.0,-22000000.0
Other Operating Expenses,,,,
Interest Expense,-8000000.0,-7000000.0,-7000000.0,-10000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-28000000.0,284000000.0,178000000.0,-169000000.0
Total Revenue,2371000000.0,5627000000.0,4178000000.0,3207000000.0
Total Operating Expenses,3033000000.0,4153000000.0,3292000000.0,3229000000.0
Cost Of Revenue,1558000000.0,3010000000.0,2420000000.0,2112000000.0
Total Other Income Expense Net,670000000.0,-172000000.0,-95000000.0,-48000000.0
Discontinued Operations,-4000000.0,-45000000.0,-10000000.0,-56000000.0
Net Income From Continuing Ops,36000000.0,1018000000.0,613000000.0,99000000.0
Net Income Applicable To Common Shares,30000000.0,970000000.0,600000000.0,41000000.0
