,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,452000000.0,697000000.0,210000000.0,-746000000.0
Change To Liabilities,0.0,0.0,0.0,123000000.0
Total Cashflows From Investing Activities,-384000000.0,26000000.0,-60000000.0,-1048000000.0
Net Borrowings,-1552000000.0,-380000000.0,-851000000.0,-5932000000.0
Total Cash From Financing Activities,-1565000000.0,-330000000.0,-790000000.0,-5957000000.0
Net Income,1212000000.0,652000000.0,-1177000000.0,-755000000.0
Change In Cash,-1798000000.0,1562000000.0,-159000000.0,-8291000000.0
Total Cash From Operating Activities,151000000.0,1866000000.0,691000000.0,-1286000000.0
Depreciation,501000000.0,501000000.0,492000000.0,173000000.0
Other Cashflows From Investing Activities,-6000000.0,90000000.0,168000000.0,11000000.0
Other Cashflows From Financing Activities,-13000000.0,50000000.0,61000000.0,-25000000.0
Change To Netincome,-1563000000.0,713000000.0,1376000000.0,-2398000000.0
Capital Expenditures,-830000000.0,-761000000.0,-438000000.0,-548000000.0
Change To Operating Activities,,,,-255000000.0
Change To Inventory,,,,354000000.0
Change To Account Receivables,,,,1168000000.0
