,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,5975000000.0,5975000000.0,6020000000.0,6020000000.0
Capital Surplus,5932000000.0,5932000000.0,5889000000.0,5889000000.0
Total Liab,28946000000.0,28946000000.0,26478000000.0,26478000000.0
Total Stockholder Equity,16597000000.0,16597000000.0,16205000000.0,16205000000.0
Minority Interest,99000000.0,99000000.0,93000000.0,93000000.0
Other Current Liab,2944000000.0,2944000000.0,397000000.0,397000000.0
Total Assets,45642000000.0,45642000000.0,42776000000.0,42776000000.0
Common Stock,172000000.0,172000000.0,172000000.0,172000000.0
Other Current Assets,1648000000.0,1648000000.0,1163000000.0,1163000000.0
Retained Earnings,15923000000.0,15923000000.0,17374000000.0,17374000000.0
Other Liab,4388000000.0,4388000000.0,3798000000.0,3798000000.0
Good Will,17486000000.0,17486000000.0,17016000000.0,17016000000.0
Treasury Stock,-5430000000.0,-5430000000.0,-7230000000.0,-7230000000.0
Other Assets,1528000000.0,1528000000.0,1170000000.0,1170000000.0
Cash,604000000.0,604000000.0,593000000.0,593000000.0
Total Current Liabilities,11824000000.0,11824000000.0,10338000000.0,10338000000.0
Deferred Long Term Asset Charges,961000000.0,961000000.0,785000000.0,785000000.0
Short Long Term Debt,3205000000.0,3205000000.0,2443000000.0,2443000000.0
Other Stockholder Equity,-3836000000.0,-3836000000.0,-5635000000.0,-5635000000.0
Property Plant Equipment,6717000000.0,6717000000.0,6572000000.0,6572000000.0
Total Current Assets,12997000000.0,12997000000.0,10638000000.0,10638000000.0
Long Term Investments,939000000.0,939000000.0,1360000000.0,1360000000.0
Net Tangible Assets,-6864000000.0,-6864000000.0,-6831000000.0,-6831000000.0
Short Term Investments,5686000000.0,5686000000.0,3680000000.0,3680000000.0
Net Receivables,3110000000.0,3110000000.0,3362000000.0,3362000000.0
Long Term Debt,11960000000.0,11960000000.0,11598000000.0,11598000000.0
Inventory,1949000000.0,1949000000.0,1840000000.0,1840000000.0
Accounts Payable,3958000000.0,3958000000.0,3467000000.0,3467000000.0
