,2021-10-29,2021-07-30,2021-04-30,2021-01-29
Intangible Assets,12319000000.0,13014000000.0,13729000000.0,15039000000.0
Total Liab,121483000000.0,112735000000.0,113166000000.0,115862000000.0
Total Stockholder Equity,8954000000.0,4825000000.0,3487000000.0,2479000000.0
Minority Interest,5240000000.0,5118000000.0,5099000000.0,5074000000.0
Deferred Long Term Liab,1158000000.0,1145000000.0,1111000000.0,1094000000.0
Other Current Liab,16569000000.0,17219000000.0,16835000000.0,20294000000.0
Total Assets,135677000000.0,122678000000.0,121752000000.0,123415000000.0
Common Stock,17843000000.0,17510000000.0,16950000000.0,16849000000.0
Other Current Assets,10184000000.0,9744000000.0,8378000000.0,6134000000.0
Retained Earnings,-8190000000.0,-12033000000.0,-12864000000.0,-13751000000.0
Other Liab,18425000000.0,18339000000.0,18584000000.0,18321000000.0
Good Will,40701000000.0,40741000000.0,40839000000.0,40829000000.0
Treasury Stock,-699000000.0,-652000000.0,-599000000.0,-619000000.0
Other Assets,9486000000.0,9452000000.0,9260000000.0,8459000000.0
Cash,22406000000.0,11719000000.0,14244000000.0,14201000000.0
Total Current Liabilities,69702000000.0,55483000000.0,54856000000.0,54132000000.0
Deferred Long Term Asset Charges,6450000000.0,6397000000.0,6351000000.0,6230000000.0
Short Long Term Debt,10805000000.0,1146000000.0,4075000000.0,1474000000.0
Other Stockholder Equity,-394000000.0,-347000000.0,-294000000.0,-314000000.0
Property Plant Equipment,8878000000.0,8705000000.0,8645000000.0,8548000000.0
Total Current Assets,57179000000.0,43555000000.0,42339000000.0,43567000000.0
Long Term Investments,1844000000.0,1881000000.0,1679000000.0,1634000000.0
Net Tangible Assets,-44066000000.0,-48930000000.0,-51081000000.0,-53389000000.0
Net Receivables,14177000000.0,12914000000.0,10909000000.0,13788000000.0
Long Term Debt,27197000000.0,32891000000.0,32855000000.0,36844000000.0
Inventory,5442000000.0,4223000000.0,3828000000.0,3402000000.0
Accounts Payable,26772000000.0,23029000000.0,21545000000.0,21696000000.0
