,2021-10-29,2021-07-30,2021-04-30,2021-01-29
Research Development,1417000000.0,1468000000.0,1323000000.0,1391000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,4785000000.0,1013000000.0,987000000.0,1632000000.0
Minority Interest,5240000000.0,5118000000.0,5099000000.0,5074000000.0
Net Income,3843000000.0,831000000.0,887000000.0,1227000000.0
Selling General Administrative,5293000000.0,5145000000.0,4960000000.0,4816000000.0
Gross Profit,8059000000.0,7985000000.0,7658000000.0,8147000000.0
Ebit,1349000000.0,1372000000.0,1375000000.0,1940000000.0
Operating Income,1349000000.0,1372000000.0,1375000000.0,1940000000.0
Other Operating Expenses,,,,
Interest Expense,-482000000.0,-483000000.0,-510000000.0,-534000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,897000000.0,133000000.0,49000000.0,289000000.0
Total Revenue,28394000000.0,26122000000.0,24487000000.0,26112000000.0
Total Operating Expenses,27045000000.0,24750000000.0,23112000000.0,24172000000.0
Cost Of Revenue,20335000000.0,18137000000.0,16829000000.0,17965000000.0
Total Other Income Expense Net,3436000000.0,-359000000.0,-388000000.0,-308000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,3888000000.0,880000000.0,938000000.0,1343000000.0
Net Income Applicable To Common Shares,3843000000.0,831000000.0,887000000.0,1227000000.0
