,2021-10-30,2021-07-31,2021-05-01,2021-01-30
Intangible Assets,3100000000.0,3100000000.0,3100000000.0,3100000000.0
Capital Surplus,1220100000.0,1204900000.0,1885000000.0,2138500000.0
Total Liab,14145600000.0,13433500000.0,13639400000.0,13410700000.0
Total Stockholder Equity,7244400000.0,7011700000.0,7411300000.0,7285300000.0
Other Current Liab,918400000.0,794500000.0,1025900000.0,290600000.0
Total Assets,21390000000.0,20445200000.0,21050700000.0,20696000000.0
Common Stock,2200000.0,2200000.0,2300000.0,2300000.0
Other Current Assets,357100000.0,259600000.0,226400000.0,207100000.0
Retained Earnings,6053400000.0,5836600000.0,5554200000.0,5179700000.0
Other Liab,1472300000.0,1402600000.0,1410200000.0,1388700000.0
Good Will,1985300000.0,1985100000.0,1985600000.0,1984400000.0
Treasury Stock,-31300000.0,-32000000.0,-30200000.0,-35200000.0
Other Assets,128800000.0,120600000.0,121300000.0,120400000.0
Cash,701400000.0,720800000.0,1473900000.0,1416700000.0
Total Current Liabilities,4291200000.0,3722700000.0,3902200000.0,3730300000.0
Deferred Long Term Asset Charges,22300000.0,23900000.0,24400000.0,23200000.0
Other Stockholder Equity,-31300000.0,-32000000.0,-30200000.0,-35200000.0
Property Plant Equipment,10801400000.0,10591400000.0,10538900000.0,10440400000.0
Total Current Assets,5374500000.0,4648100000.0,5304900000.0,5050800000.0
Net Tangible Assets,2159100000.0,1926600000.0,2325700000.0,2200900000.0
Long Term Debt,3231100000.0,3229500000.0,3227800000.0,3226200000.0
Inventory,4316000000.0,3667700000.0,3604600000.0,3427000000.0
Accounts Payable,1984800000.0,1559600000.0,1520700000.0,1480500000.0
