,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,210000000.0,228000000.0,194000000.0,214000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2248000000.0,2456000000.0,1323000000.0,1816000000.0
Minority Interest,589000000.0,580000000.0,560000000.0,570000000.0
Net Income,1683000000.0,1901000000.0,991000000.0,1236000000.0
Selling General Administrative,317000000.0,354000000.0,291000000.0,405000000.0
Gross Profit,3262000000.0,3125000000.0,1820000000.0,1567000000.0
Ebit,2635000000.0,2443000000.0,1234000000.0,847000000.0
Operating Income,2635000000.0,2443000000.0,1234000000.0,847000000.0
Other Operating Expenses,,,,
Interest Expense,-178000000.0,-187000000.0,-196000000.0,-210000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,542000000.0,524000000.0,317000000.0,562000000.0
Total Revenue,14837000000.0,13885000000.0,11882000000.0,10706000000.0
Total Operating Expenses,12202000000.0,11442000000.0,10648000000.0,9859000000.0
Cost Of Revenue,11575000000.0,10760000000.0,10062000000.0,9139000000.0
Total Other Income Expense Net,-387000000.0,13000000.0,89000000.0,969000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1706000000.0,1932000000.0,1006000000.0,1254000000.0
Net Income Applicable To Common Shares,1675000000.0,1891000000.0,986000000.0,1236000000.0
