,2021-09-12,2021-06-20,2021-03-28,2021-01-03
Intangible Assets,91371000.0,88733000.0,84694000.0,81306000.0
Capital Surplus,115000.0,7771000.0,6612000.0,5122000.0
Total Liab,5891869000.0,5862363000.0,4898912000.0,4867573000.0
Total Stockholder Equity,-4127513000.0,-4140570000.0,-3236080000.0,-3300405000.0
Other Current Liab,218405000.0,192965000.0,192103000.0,145275000.0
Total Assets,1764356000.0,1721793000.0,1662832000.0,1567168000.0
Common Stock,366000.0,369000.0,388000.0,389000.0
Other Current Assets,393081000.0,349834000.0,338147000.0,365151000.0
Retained Earnings,-4125582000.0,-4146702000.0,-3240842000.0,-3303492000.0
Other Liab,87786000.0,85318000.0,81579000.0,78468000.0
Good Will,15034000.0,15034000.0,15034000.0,15061000.0
Treasury Stock,-2412000.0,-2008000.0,-2238000.0,-2424000.0
Other Assets,37908000.0,38299000.0,37074000.0,35785000.0
Cash,295352000.0,292095000.0,267719000.0,168821000.0
Total Current Liabilities,596354000.0,554354000.0,501835000.0,470819000.0
Deferred Long Term Asset Charges,1584000.0,1663000.0,1698000.0,1904000.0
Short Long Term Debt,51500000.0,51500000.0,,
Other Stockholder Equity,-2412000.0,-2008000.0,-2238000.0,-2424000.0
Property Plant Equipment,511547000.0,516377000.0,517728000.0,525632000.0
Total Current Assets,1025996000.0,980850000.0,925802000.0,869384000.0
Long Term Investments,82500000.0,82500000.0,82500000.0,40000000.0
Net Tangible Assets,-4233918000.0,-4244337000.0,-3335808000.0,-3396772000.0
Net Receivables,238906000.0,235954000.0,235789000.0,244560000.0
Long Term Debt,4953525000.0,4965068000.0,4059520000.0,4058318000.0
Inventory,64563000.0,59182000.0,63775000.0,66683000.0
Accounts Payable,111780000.0,104515000.0,95042000.0,94499000.0
