,2021-09-12,2021-06-20,2021-03-28,2021-01-03
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,134805000.0,145093000.0,149638000.0,189565000.0
Minority Interest,,,,
Net Income,120402000.0,116619000.0,117761000.0,151897000.0
Selling General Administrative,96342000.0,100448000.0,91253000.0,138404000.0
Gross Profit,276622000.0,291350000.0,277791000.0,382448000.0
Ebit,180280000.0,190902000.0,186538000.0,244044000.0
Operating Income,180280000.0,190902000.0,186538000.0,244044000.0
Other Operating Expenses,,,,
Interest Expense,-45523000.0,-45877000.0,-39422000.0,-54479000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,14403000.0,28474000.0,31877000.0,37668000.0
Total Revenue,997990000.0,1032472000.0,983698000.0,1356567000.0
Total Operating Expenses,817710000.0,841570000.0,797160000.0,1112523000.0
Cost Of Revenue,721368000.0,741122000.0,705907000.0,974119000.0
Total Other Income Expense Net,-45475000.0,-45809000.0,-36900000.0,-54479000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,120402000.0,116619000.0,117761000.0,151897000.0
Net Income Applicable To Common Shares,120402000.0,116619000.0,117761000.0,151897000.0
