,2021-11-28,2021-08-29,2021-05-30,2021-02-28
Change To Liabilities,32500000.0,-12400000.0,46800000.0,61200000.0
Total Cashflows From Investing Activities,-94100000.0,-83700000.0,-82300000.0,-71700000.0
Net Borrowings,-3000000.0,-2600000.0,-2100000.0,-2100000.0
Total Cash From Financing Activities,-408200000.0,-312800000.0,-143400000.0,-27100000.0
Change To Operating Activities,15500000.0,-158600000.0,69800000.0,3200000.0
Issuance Of Stock,6100000.0,19600000.0,12000000.0,23800000.0
Net Income,193200000.0,230900000.0,368500000.0,128700000.0
Change In Cash,-201500000.0,-215400000.0,220800000.0,216600000.0
Repurchase Of Stock,-266000000.0,-186300000.0,-38200000.0,-400000.0
Total Cash From Operating Activities,300800000.0,181100000.0,446500000.0,315400000.0
Depreciation,92100000.0,89000000.0,63700000.0,88200000.0
Other Cashflows From Investing Activities,200000.0,1100000.0,100000.0,1400000.0
Dividends Paid,-142600000.0,-143500000.0,-115300000.0,-48200000.0
Change To Inventory,-19400000.0,-20000000.0,-2600000.0,14800000.0
Change To Account Receivables,-1700000.0,800000.0,-24200000.0,2200000.0
Other Cashflows From Financing Activities,-2700000.0,-2700000.0,200000.0,-200000.0
Change To Netincome,23900000.0,18400000.0,191200000.0,10600000.0
Capital Expenditures,-90600000.0,-82700000.0,-77600000.0,-69100000.0
