,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,1366600000.0,1317100000.0,1360700000.0,1092700000.0
Capital Surplus,1517600000.0,1506800000.0,1489500000.0,1470700000.0
Total Liab,7528200000.0,5841700000.0,6312400000.0,6401500000.0
Total Stockholder Equity,3539200000.0,3460500000.0,3318000000.0,3168400000.0
Minority Interest,15900000.0,38100000.0,39000000.0,41900000.0
Other Current Liab,757800000.0,702100000.0,732800000.0,670000000.0
Total Assets,11083300000.0,9340300000.0,9669400000.0,9611800000.0
Common Stock,236600000.0,236600000.0,236600000.0,236600000.0
Other Current Assets,49700000.0,47700000.0,51500000.0,37700000.0
Retained Earnings,4677400000.0,4505700000.0,4342000000.0,4185400000.0
Other Liab,671900000.0,685600000.0,691600000.0,550700000.0
Good Will,5169200000.0,5085100000.0,5089300000.0,4495800000.0
Treasury Stock,-2892400000.0,-2788600000.0,-2750100000.0,-2724300000.0
Other Assets,279400000.0,275100000.0,379600000.0,405600000.0
Cash,2025500000.0,458100000.0,765900000.0,1684600000.0
Total Current Liabilities,1886900000.0,1875200000.0,2341700000.0,2483100000.0
Other Stockholder Equity,-261600000.0,-162700000.0,-167200000.0,-177300000.0
Property Plant Equipment,1252900000.0,1215600000.0,1174800000.0,1139400000.0
Total Current Assets,2890300000.0,1329500000.0,1665000000.0,2478300000.0
Long Term Investments,124900000.0,117900000.0,,
Net Tangible Assets,-2996600000.0,-2941700000.0,-3132000000.0,-2420100000.0
Net Receivables,694600000.0,694000000.0,708800000.0,651900000.0
Long Term Debt,4969400000.0,3280900000.0,3279100000.0,3277300000.0
Accounts Payable,192500000.0,171300000.0,173000000.0,159100000.0
Deferred Long Term Asset Charges,,,,9200000.0
