,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Total Liab,56281000000.0,53849000000.0,53282000000.0,53423000000.0
Total Stockholder Equity,13606000000.0,14177000000.0,14085000000.0,14048000000.0
Minority Interest,1901000000.0,1901000000.0,1901000000.0,1901000000.0
Deferred Long Term Liab,7386000000.0,7810000000.0,7543000000.0,7120000000.0
Other Current Liab,2750000000.0,2566000000.0,4251000000.0,4655000000.0
Total Assets,73023000000.0,71162000000.0,70505000000.0,69372000000.0
Common Stock,6033000000.0,6013000000.0,5989000000.0,5962000000.0
Other Current Assets,2031000000.0,2197000000.0,1991000000.0,1861000000.0
Retained Earnings,7636000000.0,8229000000.0,8163000000.0,8155000000.0
Other Liab,22800000000.0,22312000000.0,22764000000.0,22641000000.0
Treasury Stock,-63000000.0,-65000000.0,-67000000.0,-69000000.0
Other Assets,15661000000.0,16126000000.0,15763000000.0,15462000000.0
Cash,524000000.0,84000000.0,389000000.0,87000000.0
Total Current Liabilities,8962000000.0,7815000000.0,9497000000.0,10277000000.0
Short Long Term Debt,776000000.0,415000000.0,909000000.0,1029000000.0
Other Stockholder Equity,-63000000.0,-65000000.0,-67000000.0,-69000000.0
Property Plant Equipment,51286000000.0,50036000000.0,49355000000.0,48796000000.0
Total Current Assets,6028000000.0,4921000000.0,5328000000.0,5061000000.0
Long Term Investments,48000000.0,79000000.0,59000000.0,53000000.0
Net Tangible Assets,13606000000.0,14177000000.0,14085000000.0,14048000000.0
Net Receivables,2734000000.0,2177000000.0,2369000000.0,2427000000.0
Long Term Debt,23342000000.0,22891000000.0,20165000000.0,19632000000.0
Inventory,412000000.0,406000000.0,416000000.0,405000000.0
Accounts Payable,2039000000.0,1797000000.0,1602000000.0,1980000000.0
