,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,1407000000.0,1390000000.0,1741000000.0,1792000000.0
Capital Surplus,2275000000.0,2255000000.0,2219000000.0,2174000000.0
Total Liab,10052000000.0,10070000000.0,9876000000.0,9975000000.0
Total Stockholder Equity,6120000000.0,5944000000.0,6233000000.0,6023000000.0
Minority Interest,87000000.0,84000000.0,86000000.0,85000000.0
Other Current Liab,522000000.0,576000000.0,412000000.0,468000000.0
Total Assets,16259000000.0,16098000000.0,16195000000.0,16083000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Other Current Assets,821000000.0,887000000.0,83000000.0,82000000.0
Retained Earnings,8278000000.0,8020000000.0,8260000000.0,8080000000.0
Other Liab,2358000000.0,2421000000.0,2523000000.0,2494000000.0
Good Will,4044000000.0,4053000000.0,4446000000.0,4465000000.0
Treasury Stock,-4435000000.0,-4333000000.0,-4248000000.0,-4233000000.0
Other Assets,539000000.0,532000000.0,515000000.0,404000000.0
Cash,717000000.0,609000000.0,540000000.0,564000000.0
Total Current Liabilities,3113000000.0,2295000000.0,2016000000.0,2038000000.0
Short Long Term Debt,1046000000.0,300000000.0,299000000.0,299000000.0
Other Stockholder Equity,-185000000.0,-233000000.0,-248000000.0,-273000000.0
Property Plant Equipment,5356000000.0,5340000000.0,5643000000.0,5725000000.0
Total Current Assets,4875000000.0,4738000000.0,3797000000.0,3541000000.0
Long Term Investments,38000000.0,45000000.0,53000000.0,156000000.0
Net Tangible Assets,669000000.0,501000000.0,46000000.0,-234000000.0
Net Receivables,1707000000.0,1740000000.0,1669000000.0,1515000000.0
Long Term Debt,4453000000.0,5246000000.0,5223000000.0,5320000000.0
Inventory,1630000000.0,1501000000.0,1505000000.0,1379000000.0
Accounts Payable,1121000000.0,1059000000.0,976000000.0,799000000.0
Deferred Long Term Asset Charges,,,,112000000.0
