,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Change To Liabilities,71000000.0,109000000.0,197000000.0,113000000.0
Total Cashflows From Investing Activities,-170000000.0,-178000000.0,-99000000.0,-112000000.0
Net Borrowings,-25000000.0,-25000000.0,-25000000.0,-320000000.0
Total Cash From Financing Activities,-269000000.0,-178000000.0,-137000000.0,-382000000.0
Change To Operating Activities,206000000.0,71000000.0,-54000000.0,-64000000.0
Net Income,351000000.0,-146000000.0,274000000.0,32000000.0
Change In Cash,108000000.0,69000000.0,-24000000.0,-86000000.0
Repurchase Of Stock,-150000000.0,-100000000.0,-40000000.0,-40000000.0
Total Cash From Operating Activities,547000000.0,426000000.0,216000000.0,406000000.0
Depreciation,127000000.0,140000000.0,145000000.0,144000000.0
Other Cashflows From Investing Activities,1000000.0,-2000000.0,-2000000.0,-6000000.0
Dividends Paid,-94000000.0,-94000000.0,-94000000.0,-89000000.0
Change To Inventory,-155000000.0,-70000000.0,-144000000.0,-25000000.0
Change To Account Receivables,-78000000.0,-150000000.0,-211000000.0,59000000.0
Change To Netincome,25000000.0,472000000.0,9000000.0,147000000.0
Capital Expenditures,-117000000.0,-107000000.0,-91000000.0,-105000000.0
Issuance Of Stock,,38000000.0,38000000.0,38000000.0
Effect Of Exchange Rate,,-1000000.0,-4000000.0,2000000.0
Other Cashflows From Financing Activities,,-22000000.0,22000000.0,27000000.0
