,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-523490000.0,-20000000.0,-25000000.0,-5010000.0
Change To Liabilities,41296000.0,38983000.0,55816000.0,58906000.0
Total Cashflows From Investing Activities,-536422000.0,-36428000.0,-90179000.0,-13861000.0
Total Cash From Financing Activities,-3271000.0,-205757000.0,824671000.0,-53635000.0
Change To Operating Activities,4006000.0,-4769000.0,3600000.0,-2051000.0
Issuance Of Stock,42000.0,3428000.0,214000.0,3687000.0
Net Income,21809000.0,39351000.0,31698000.0,72991000.0
Change In Cash,-426715000.0,-176749000.0,809631000.0,17587000.0
Repurchase Of Stock,-3313000.0,-207813000.0,-9185000.0,-16288000.0
Effect Of Exchange Rate,-376000.0,-224000.0,-702000.0,903000.0
Total Cash From Operating Activities,113354000.0,65660000.0,75841000.0,84180000.0
Depreciation,7417000.0,6705000.0,4759000.0,4807000.0
Change To Inventory,-27648000.0,-2880000.0,6888000.0,-4229000.0
Change To Account Receivables,5462000.0,-44812000.0,-53719000.0,-57854000.0
Change To Netincome,60116000.0,32191000.0,26000000.0,11064000.0
Capital Expenditures,-12682000.0,-16428000.0,-9940000.0,-8851000.0
Net Borrowings,,-1372000.0,899077000.0,-41034000.0
Other Cashflows From Financing Activities,,,-65435000.0,-65435000.0
