,2021-10-02,2021-07-03,2021-04-03,2020-12-31
Research Development,41972000.0,41972000.0,37748000.0,37558000.0
Effect Of Accounting Charges,,,,
Income Before Tax,128101000.0,104686000.0,98067000.0,106400000.0
Minority Interest,,,,
Net Income,117461000.0,88770000.0,84676000.0,86624000.0
Selling General Administrative,71032000.0,72621000.0,69345000.0,71533000.0
Gross Profit,264204000.0,265384000.0,234986000.0,230872000.0
Ebit,139357000.0,138889000.0,116022000.0,109865000.0
Operating Income,139357000.0,138889000.0,116022000.0,109865000.0
Other Operating Expenses,,,,
Interest Expense,-9395000.0,-10697000.0,-11652000.0,-12255000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,10640000.0,15916000.0,13391000.0,19776000.0
Total Revenue,579493000.0,571352000.0,512844000.0,517594000.0
Total Operating Expenses,440136000.0,432463000.0,396822000.0,407729000.0
Cost Of Revenue,315289000.0,305968000.0,277858000.0,286722000.0
Total Other Income Expense Net,-11256000.0,-34203000.0,-17955000.0,-3465000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,117461000.0,88770000.0,84676000.0,86624000.0
Net Income Applicable To Common Shares,117461000.0,88770000.0,84676000.0,86624000.0
