,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-27436000.0,22340000.0,-2374000.0,1261000.0
Change To Liabilities,62656000.0,-52602000.0,59116000.0,-53948000.0
Total Cashflows From Investing Activities,-254234000.0,70990000.0,-126345000.0,247128000.0
Net Borrowings,-102735000.0,210326000.0,-9452000.0,-356034000.0
Total Cash From Financing Activities,-313606000.0,-6397000.0,-221600000.0,-613826000.0
Change To Operating Activities,23996000.0,-17472000.0,6078000.0,-24494000.0
Issuance Of Stock,29972000.0,17677000.0,24613000.0,1801000.0
Net Income,431951000.0,316386000.0,57539000.0,252856000.0
Change In Cash,-165752000.0,294665000.0,-1892000.0,-135486000.0
Total Cash From Operating Activities,402088000.0,230072000.0,346053000.0,231212000.0
Depreciation,218375000.0,204865000.0,202924000.0,204708000.0
Dividends Paid,-226321000.0,-225447000.0,-225081000.0,-225042000.0
Other Cashflows From Financing Activities,-14522000.0,-8953000.0,-11680000.0,-34551000.0
Change To Netincome,-338279000.0,-224343000.0,16917000.0,-151993000.0
Capital Expenditures,-209000.0,-453000.0,-589000.0,-810000.0
Other Cashflows From Investing Activities,,26335000.0,-26335000.0,-26335000.0
